epoch,train_loss,val_acc
0,3.3599,0.3077
1,3.3225,0.3077
2,3.1819,0.3077
3,3.0466,0.3077
4,2.9061,0.3077
5,2.7722,0.3077
6,2.6286,0.3077
7,2.5007,0.3077
8,2.3295,0.4615
9,2.1809,0.4615
10,2.0242,0.3846
11,1.8288,0.6154
12,1.6713,0.6154
13,1.7136,0.6154
14,1.652,0.6154
15,1.6122,0.3077
16,1.5099,0.4615
17,1.6319,0.4615
18,1.4862,0.4615
19,1.4263,0.4615
20,1.4122,0.4615
21,1.4735,0.4615
22,1.357,0.4615
23,1.3819,0.4615
24,1.4154,0.6154
25,1.3564,0.5385
26,1.2587,0.6923
27,1.2416,0.6923
28,1.3372,0.7692
29,1.2972,0.6923
30,1.2048,0.6923
31,1.2003,0.6923
32,1.1436,0.6923
33,1.1987,0.6923
34,1.2776,0.6923
35,1.1966,0.6923
36,1.1996,0.6923
37,1.1976,0.6923
38,1.1708,0.6923
39,1.1653,0.6923
40,1.1504,0.6923
41,1.1692,0.6923
42,1.1481,0.6923
43,1.1929,0.6923
44,1.1459,0.7692
45,1.1499,0.6923
46,1.1731,0.6923
47,1.1857,0.6923
48,1.1333,0.6923
49,1.147,0.6923
50,1.1873,0.6923
51,1.1007,0.6923
52,1.1592,0.6923
53,1.1155,0.6923
54,1.1622,0.6923
55,1.1292,0.6923
56,1.1704,0.6923
57,1.1406,0.6923
58,1.1582,0.6923
59,1.1111,0.6923
