config,dataset,n,median_px,mean_px,worst_px,mean_runtime_s,wide_grid_used,within_1.0px_pct,within_2.0px_pct,within_4.0px_pct,within_5.0px_pct,within_10.0px_pct
baseline_loose_tol,train40_v2,40,0.121,7.36,103.1,3.91,40,90.0,90.0,90.0,90.0,90.0
baseline_loose_tol,stress30,30,8.751,155.47,743.5,4.84,30,43.3,43.3,46.7,50.0,50.0
baseline_loose_tol,spec40,40,48.563,150.33,819.8,4.13,40,32.5,35.0,37.5,37.5,40.0
baseline_loose_tol,amat40,40,11.276,96.01,675.2,4.23,40,15.0,32.5,50.0,50.0,50.0
aa_nominal_loose_tol,train40_v2,40,0.14,7.98,103.1,2.86,1,87.5,87.5,87.5,87.5,87.5
aa_nominal_loose_tol,stress30,30,4.102,145.71,564.7,3.71,18,46.7,50.0,50.0,50.0,53.3
aa_nominal_loose_tol,spec40,40,139.992,236.42,819.8,3.32,16,20.0,30.0,30.0,30.0,32.5
aa_nominal_loose_tol,amat40,40,11.274,81.64,533.6,2.82,0,17.5,35.0,50.0,50.0,50.0
aa_nominal_mid_tol,train40_v2,40,0.14,8.12,108.2,2.71,1,87.5,87.5,87.5,87.5,87.5
aa_nominal_mid_tol,stress30,30,4.102,166.95,723.8,3.33,18,46.7,50.0,50.0,50.0,53.3
aa_nominal_mid_tol,spec40,40,116.415,234.67,820.9,3.24,16,20.0,30.0,30.0,30.0,35.0
aa_nominal_mid_tol,amat40,40,3.108,70.94,532.5,2.75,0,17.5,37.5,52.5,52.5,55.0
aa_nominal_tight_tol,train40_v2,40,0.144,11.1,119.5,2.77,1,85.0,85.0,85.0,85.0,85.0
aa_nominal_tight_tol,stress30,30,4.102,208.44,723.8,3.7,18,46.7,50.0,50.0,50.0,53.3
aa_nominal_tight_tol,spec40,40,113.733,233.54,820.9,3.12,16,22.5,32.5,32.5,32.5,35.0
aa_nominal_tight_tol,amat40,40,2.883,62.85,532.5,2.76,0,20.0,37.5,55.0,55.0,60.0
