config,dataset,n,median_px,mean_px,worst_px,mean_runtime_s,wide_grid_used,within_1.0px_pct,within_2.0px_pct,within_4.0px_pct,within_5.0px_pct,within_10.0px_pct
ps_wide_loose,train40_v2,40,0.121,7.36,103.1,3.36,40,90.0,90.0,90.0,90.0,90.0
ps_wide_loose,stress30,30,8.751,155.47,743.5,4.22,30,43.3,43.3,46.7,50.0,50.0
ps_wide_loose,spec40,40,48.563,150.33,819.8,3.99,40,32.5,35.0,37.5,37.5,40.0
ps_wide_loose,amat40,40,11.276,96.01,675.2,3.93,40,15.0,32.5,50.0,50.0,50.0
ps_wide_tight,train40_v2,40,0.132,11.1,119.5,3.68,40,85.0,85.0,85.0,85.0,85.0
ps_wide_tight,stress30,30,4.175,189.97,840.8,3.73,30,43.3,43.3,46.7,53.3,53.3
ps_wide_tight,spec40,40,34.298,149.71,820.9,3.86,40,35.0,37.5,40.0,40.0,45.0
ps_wide_tight,amat40,40,2.851,75.85,714.2,3.62,40,20.0,40.0,57.5,57.5,60.0
ps_prefer_loose,train40_v2,40,0.14,7.98,103.1,3.81,2,87.5,87.5,87.5,87.5,87.5
ps_prefer_loose,stress30,30,2.674,123.87,522.2,3.82,22,46.7,50.0,50.0,53.3,53.3
ps_prefer_loose,spec40,40,52.655,168.63,819.8,4.0,32,30.0,37.5,37.5,37.5,40.0
ps_prefer_loose,amat40,40,19.311,79.81,533.6,6.93,1,15.0,32.5,47.5,47.5,47.5
ps_prefer_tight,train40_v2,40,0.142,11.1,119.5,4.79,2,85.0,85.0,85.0,85.0,85.0
ps_prefer_tight,stress30,30,2.674,193.29,723.8,3.87,22,46.7,50.0,50.0,56.7,56.7
ps_prefer_tight,spec40,40,34.298,168.56,820.9,3.87,32,32.5,40.0,40.0,40.0,45.0
ps_prefer_tight,amat40,40,2.853,58.98,532.5,3.73,1,20.0,37.5,57.5,57.5,62.5
