pair_id,reference_path,search_path,tier,style,gt_x,gt_y,pred_x,pred_y,err_px,confidence,peak_score,confidence_regime,runtime_s
pair_0000,pair_0000/reference.png,pair_0000/search.png,low,dram,298.2,242.1,297.61,241.594,0.777,0.9944,0.9898,unique_peak,3.329
pair_0001,pair_0001/reference.png,pair_0001/search.png,medium,finfet,300.2,415.4,299.177,414.998,1.0993,0.6375,0.8993,tie_break_convention,3.415
pair_0002,pair_0002/reference.png,pair_0002/search.png,high,dram,368.6,413.1,202.305,701.575,332.9744,0.651,0.9237,tie_break_convention,3.385
pair_0003,pair_0003/reference.png,pair_0003/search.png,severe,finfet,133.0,143.1,665.444,136.608,532.484,0.6488,0.8576,tie_break_convention,3.382
pair_0004,pair_0004/reference.png,pair_0004/search.png,low,dram,570.4,142.4,569.82,141.89,0.7719,0.9812,0.9658,unique_peak,3.339
pair_0005,pair_0005/reference.png,pair_0005/search.png,medium,finfet,467.8,678.8,466.321,636.371,42.4552,0.666,0.9823,tie_break_convention,3.384
pair_0006,pair_0006/reference.png,pair_0006/search.png,high,dram,303.8,151.9,302.687,106.4,45.514,0.6644,0.8858,tie_break_convention,3.376
pair_0007,pair_0007/reference.png,pair_0007/search.png,severe,finfet,120.6,289.8,119.112,289.35,1.5546,0.7883,0.6151,unique_peak,3.511
pair_0008,pair_0008/reference.png,pair_0008/search.png,low,dram,79.5,755.2,78.64,747.472,7.7757,0.7179,0.9831,tie_break_convention,3.454
pair_0009,pair_0009/reference.png,pair_0009/search.png,medium,finfet,616.5,77.7,615.658,211.499,133.802,0.9796,0.9629,unique_peak,3.377
pair_0010,pair_0010/reference.png,pair_0010/search.png,high,dram,305.8,746.5,303.558,752.461,6.3684,0.9361,0.8838,unique_peak,3.524
pair_0011,pair_0011/reference.png,pair_0011/search.png,severe,finfet,65.0,609.8,62.188,609.254,2.8644,0.9221,0.8583,unique_peak,3.455
pair_0012,pair_0012/reference.png,pair_0012/search.png,low,dram,793.7,703.0,684.63,702.498,109.0707,0.7157,0.9791,tie_break_convention,3.421
pair_0013,pair_0013/reference.png,pair_0013/search.png,medium,finfet,233.3,286.7,232.444,286.194,0.9942,0.9677,0.9413,unique_peak,3.459
pair_0014,pair_0014/reference.png,pair_0014/search.png,high,dram,666.8,669.8,664.563,669.314,2.2897,0.6189,0.96,tie_break_convention,3.471
pair_0015,pair_0015/reference.png,pair_0015/search.png,severe,finfet,799.4,577.8,796.53,577.367,2.9023,0.8428,0.7142,unique_peak,3.399
pair_0016,pair_0016/reference.png,pair_0016/search.png,low,dram,285.0,595.5,284.296,595.117,0.8018,0.975,0.9545,unique_peak,3.353
pair_0017,pair_0017/reference.png,pair_0017/search.png,medium,finfet,444.6,293.7,443.655,293.214,1.0624,0.9612,0.9294,unique_peak,3.347
pair_0018,pair_0018/reference.png,pair_0018/search.png,high,dram,719.4,863.6,716.818,863.129,2.6251,0.9478,0.9051,unique_peak,3.368
pair_0019,pair_0019/reference.png,pair_0019/search.png,severe,finfet,485.8,543.0,342.458,828.159,319.1592,0.5893,0.5121,unique_peak,3.387
pair_0020,pair_0020/reference.png,pair_0020/search.png,low,dram,562.6,180.0,561.983,179.499,0.7945,0.9851,0.9728,unique_peak,3.313
pair_0021,pair_0021/reference.png,pair_0021/search.png,medium,finfet,555.7,593.0,554.292,592.519,1.4883,0.9841,0.9711,unique_peak,3.321
pair_0022,pair_0022/reference.png,pair_0022/search.png,high,dram,117.7,433.5,116.235,468.756,35.286,0.9749,0.9544,unique_peak,3.376
pair_0023,pair_0023/reference.png,pair_0023/search.png,severe,finfet,318.9,397.4,317.203,340.703,56.7221,0.8442,0.7168,unique_peak,3.416
pair_0024,pair_0024/reference.png,pair_0024/search.png,low,dram,437.1,298.7,436.409,298.216,0.8432,0.9851,0.9729,unique_peak,3.334
pair_0025,pair_0025/reference.png,pair_0025/search.png,medium,finfet,244.7,810.7,243.166,810.241,1.6012,0.9579,0.9235,unique_peak,3.328
pair_0026,pair_0026/reference.png,pair_0026/search.png,high,dram,237.3,883.4,234.524,882.787,2.8426,0.9549,0.918,unique_peak,3.366
