magnification,rotation_deg,repeat,style,gt_x,gt_y,pred_x,pred_y,err_px,est_scale,est_rotation_deg,confidence,confidence_regime,runtime_s
9.0,-2.0,0,finfet,257.269,113.478,256.651,112.855,0.8774,0.9,1.875,0.7058,tie_break_convention,7.292
9.0,-2.0,1,dram,913.171,417.442,911.88,416.858,1.4172,0.9,1.875,0.9855,unique_peak,7.251
9.0,-1.0,0,finfet,863.411,87.566,863.457,51.419,36.1471,0.9,1.125,0.9625,unique_peak,6.829
9.0,-1.0,1,dram,442.305,860.335,440.418,859.748,1.9758,0.9,1.125,0.8467,unique_peak,6.984
9.0,0.0,0,finfet,859.167,1000.056,857.42,952.805,47.2827,0.8925,0.0,0.9617,unique_peak,7.128
9.0,0.0,1,dram,1000.056,538.722,99.418,540.311,900.6386,0.8925,0.0,0.9641,unique_peak,6.748
9.0,1.0,0,finfet,1001.304,566.641,915.261,568.347,86.0596,0.9075,-3.0,0.7506,unique_peak,7.122
9.0,1.0,1,dram,602.654,411.909,601.559,411.387,1.2123,0.9,-1.125,0.9951,unique_peak,6.718
9.0,2.0,0,finfet,612.45,371.925,611.368,371.383,1.21,0.9,-1.875,0.7083,residual_identified,6.905
9.0,2.0,1,dram,922.678,841.05,920.94,840.494,1.8247,0.9,-1.875,0.9801,unique_peak,6.509
9.5,-2.0,0,finfet,891.382,87.452,886.659,204.514,117.1579,0.95,2.625,0.7058,tie_break_convention,6.765
9.5,-2.0,1,dram,118.641,831.147,173.418,832.563,54.795,0.95,1.875,0.7086,tie_break_convention,6.658
9.5,-1.0,0,finfet,591.733,897.065,589.625,896.521,2.1775,0.9425,0.75,0.965,unique_peak,6.602
9.5,-1.0,1,dram,570.511,876.481,568.536,875.927,2.0509,0.95,1.125,0.9821,unique_peak,6.309
9.5,0.0,0,finfet,606.026,431.605,604.841,431.084,1.2954,0.95,0.0,0.7397,residual_identified,6.349
9.5,0.0,1,dram,291.921,568.447,290.528,567.813,1.531,0.95,0.375,0.9859,unique_peak,6.433
9.5,1.0,0,finfet,607.371,599.738,605.913,599.313,1.5186,0.95,-1.125,0.9612,unique_peak,6.494
9.5,1.0,1,dram,439.544,544.764,478.593,543.509,39.0695,0.95,-1.125,0.6671,tie_break_convention,6.562
9.5,2.0,0,finfet,564.109,841.559,562.231,841.094,1.9342,0.95,-1.875,0.9857,unique_peak,6.494
9.5,2.0,1,dram,548.135,972.301,545.567,954.5,17.9856,0.95,-2.25,0.9819,unique_peak,6.52
10.0,-2.0,0,finfet,662.345,899.327,660.322,898.782,2.0958,1.0,1.125,0.9555,unique_peak,6.388
10.0,-2.0,1,dram,292.913,143.073,292.171,142.544,0.9113,1.0,2.25,0.9829,unique_peak,5.73
10.0,-1.0,0,finfet,858.177,154.407,857.46,153.882,0.8889,1.0,1.125,0.9714,unique_peak,5.178
10.0,-1.0,1,dram,597.0,454.495,595.834,453.954,1.2858,1.0,1.125,0.7614,residual_identified,4.893
10.0,0.0,0,finfet,310.2,462.0,308.758,461.559,1.5075,0.985,0.0,0.9484,unique_peak,5.719
10.0,0.0,1,dram,291.6,258.2,290.777,257.702,0.9622,1.0,0.0,0.9862,unique_peak,5.166
10.0,1.0,0,finfet,589.307,310.004,588.34,309.555,1.0661,1.0,-1.125,0.9756,unique_peak,4.979
10.0,1.0,1,dram,693.814,538.715,692.506,538.221,1.3985,1.0,-1.125,0.8478,unique_peak,4.766
10.0,2.0,0,finfet,241.763,176.298,239.174,119.996,56.3616,1.0,-1.125,0.8345,unique_peak,4.774
10.0,2.0,1,dram,561.444,889.376,559.562,888.735,1.988,0.9925,-2.25,0.9883,unique_peak,4.861
10.5,-2.0,0,finfet,248.084,541.132,246.714,540.599,1.4705,1.0575,2.25,0.9538,unique_peak,6.411
10.5,-2.0,1,dram,417.694,317.868,416.681,317.396,1.1171,1.05,1.875,0.8385,unique_peak,6.529
10.5,-1.0,0,finfet,857.707,119.694,857.5,92.192,27.5023,1.05,1.125,0.9822,unique_peak,6.398
10.5,-1.0,1,dram,665.526,554.025,664.23,553.539,1.3846,1.05,1.125,0.9911,unique_peak,6.693
10.5,0.0,0,finfet,288.357,402.738,287.29,402.289,1.1581,1.05,0.0,0.8741,unique_peak,6.373
10.5,0.0,1,dram,857.214,879.786,855.403,879.327,1.8682,1.05,0.0,0.983,unique_peak,6.346
