magnification,rotation_deg,repeat,style,gt_x,gt_y,pred_x,pred_y,err_px,est_scale,est_rotation_deg,confidence,confidence_regime,runtime_s
9.0,-2.0,0,finfet,257.269,113.478,256.601,112.846,0.9198,0.9,1.875,0.9779,unique_peak,3.419
9.0,-2.0,1,dram,913.171,417.442,911.893,416.898,1.3893,0.9075,2.25,0.9884,unique_peak,3.34
9.0,-1.0,0,finfet,863.411,87.566,863.425,51.446,36.1205,0.9,1.125,0.9617,unique_peak,3.41
9.0,-1.0,1,dram,442.305,860.335,440.431,859.75,1.9625,0.9,1.125,0.8595,unique_peak,3.444
9.0,0.0,0,finfet,859.167,1000.056,856.995,937.47,62.6232,0.9075,0.0,0.8966,unique_peak,3.357
9.0,0.0,1,dram,1000.056,538.722,152.966,540.001,847.0908,0.9075,0.0,0.6873,tie_break_convention,3.407
9.0,1.0,0,finfet,1001.304,566.641,915.558,568.304,85.7618,0.915,-2.625,0.7499,unique_peak,3.412
9.0,1.0,1,dram,602.654,411.909,601.51,411.41,1.2473,0.9,-1.125,0.9949,unique_peak,3.315
9.0,2.0,0,finfet,612.45,371.925,611.366,371.365,1.2197,0.9,-1.875,0.7128,residual_identified,3.386
9.0,2.0,1,dram,922.678,841.05,920.892,840.488,1.8722,0.9,-1.875,0.9825,unique_peak,3.297
9.5,-2.0,0,finfet,891.382,87.452,890.793,86.963,0.7653,0.95,1.875,0.984,unique_peak,3.491
9.5,-2.0,1,dram,118.641,831.147,116.864,830.597,1.8604,0.95,2.25,0.7246,residual_identified,3.534
9.5,-1.0,0,finfet,591.733,897.065,589.887,896.359,1.9766,0.95,1.5,0.9569,unique_peak,3.511
9.5,-1.0,1,dram,570.511,876.481,568.525,875.941,2.0581,0.95,1.125,0.98,unique_peak,3.458
9.5,0.0,0,finfet,606.026,431.605,604.858,431.089,1.2775,0.95,0.0,0.8736,unique_peak,3.514
9.5,0.0,1,dram,291.921,568.447,290.485,567.933,1.5255,0.95,0.0,0.9825,unique_peak,3.486
9.5,1.0,0,finfet,607.371,599.738,605.997,599.16,1.4904,0.95,-0.75,0.9758,unique_peak,3.496
9.5,1.0,1,dram,439.544,544.764,438.154,544.241,1.485,0.95,-0.75,0.8406,unique_peak,3.504
9.5,2.0,0,finfet,564.109,841.559,562.162,841.089,2.0028,0.95,-1.875,0.9903,unique_peak,3.519
9.5,2.0,1,dram,548.135,972.301,544.996,938.033,34.4116,0.95,-1.875,0.7757,residual_identified,3.54
10.0,-2.0,0,finfet,662.345,899.327,660.322,898.782,2.0958,1.0,1.125,0.9555,unique_peak,3.402
10.0,-2.0,1,dram,292.913,143.073,292.171,142.544,0.9113,1.0,2.25,0.9829,unique_peak,3.433
10.0,-1.0,0,finfet,858.177,154.407,857.46,153.882,0.8889,1.0,1.125,0.9714,unique_peak,3.538
10.0,-1.0,1,dram,597.0,454.495,595.733,454.069,1.3367,0.9925,0.75,0.9872,unique_peak,3.524
10.0,0.0,0,finfet,310.2,462.0,308.902,461.595,1.3601,0.9925,0.0,0.9593,unique_peak,3.593
10.0,0.0,1,dram,291.6,258.2,290.777,257.702,0.9622,1.0,0.0,0.9862,unique_peak,3.366
10.0,1.0,0,finfet,589.307,310.004,588.34,309.555,1.0661,1.0,-1.125,0.9756,unique_peak,3.359
10.0,1.0,1,dram,693.814,538.715,692.506,538.221,1.3985,1.0,-1.125,0.8478,unique_peak,3.457
10.0,2.0,0,finfet,241.763,176.298,239.174,119.996,56.3616,1.0,-1.125,0.8345,unique_peak,3.425
10.0,2.0,1,dram,561.444,889.376,559.485,888.852,2.0282,1.0,-2.25,0.9876,unique_peak,3.353
10.5,-2.0,0,finfet,248.084,541.132,246.714,540.599,1.4705,1.0575,2.25,0.9538,unique_peak,3.539
10.5,-2.0,1,dram,417.694,317.868,416.681,317.396,1.1171,1.05,1.875,0.8385,unique_peak,3.468
10.5,-1.0,0,finfet,857.707,119.694,857.5,92.192,27.5023,1.05,1.125,0.9822,unique_peak,3.555
10.5,-1.0,1,dram,665.526,554.025,664.23,553.539,1.3846,1.05,1.125,0.9911,unique_peak,3.489
10.5,0.0,0,finfet,288.357,402.738,287.29,402.289,1.1581,1.05,0.0,0.8741,unique_peak,3.495
10.5,0.0,1,dram,857.214,879.786,855.403,879.327,1.8682,1.05,0.0,0.983,unique_peak,3.414
10.5,1.0,0,finfet,447.318,249.42,446.372,248.845,1.1074,1.0575,-0.75,0.9753,unique_peak,3.478
10.5,1.0,1,dram,297.115,932.146,295.252,931.686,1.919,1.05,-1.125,0.9906,unique_peak,3.421
