pair_id,reference_path,search_path,tier,style,gt_x,gt_y,pred_x,pred_y,err_px,confidence,peak_score,confidence_regime,runtime_s
pair_0000,pair_0000/reference.png,pair_0000/search.png,low,dram,298.2,242.1,297.61,241.594,0.777,0.9944,0.9898,unique_peak,3.616
pair_0001,pair_0001/reference.png,pair_0001/search.png,medium,finfet,300.2,415.4,298.995,414.978,1.2768,0.9593,0.9261,unique_peak,4.384
pair_0002,pair_0002/reference.png,pair_0002/search.png,high,dram,368.6,413.1,50.843,751.943,464.525,0.6853,0.9238,tie_break_convention,3.914
pair_0003,pair_0003/reference.png,pair_0003/search.png,severe,finfet,133.0,143.1,665.444,136.608,532.484,0.6488,0.8576,tie_break_convention,4.015
pair_0004,pair_0004/reference.png,pair_0004/search.png,low,dram,570.4,142.4,569.907,141.906,0.6979,0.9911,0.9839,unique_peak,4.748
pair_0005,pair_0005/reference.png,pair_0005/search.png,medium,finfet,467.8,678.8,466.321,636.371,42.4552,0.666,0.9823,tie_break_convention,4.199
pair_0006,pair_0006/reference.png,pair_0006/search.png,high,dram,303.8,151.9,302.828,106.495,45.4151,0.9352,0.8821,unique_peak,4.577
pair_0007,pair_0007/reference.png,pair_0007/search.png,severe,finfet,120.6,289.8,119.112,289.35,1.5546,0.7883,0.6151,unique_peak,4.135
pair_0008,pair_0008/reference.png,pair_0008/search.png,low,dram,79.5,755.2,78.64,747.472,7.7757,0.7179,0.9831,tie_break_convention,5.75
pair_0009,pair_0009/reference.png,pair_0009/search.png,medium,finfet,616.5,77.7,615.658,211.499,133.802,0.9796,0.9629,unique_peak,5.33
pair_0010,pair_0010/reference.png,pair_0010/search.png,high,dram,305.8,746.5,303.558,752.461,6.3684,0.9361,0.8838,unique_peak,4.735
pair_0011,pair_0011/reference.png,pair_0011/search.png,severe,finfet,65.0,609.8,62.188,609.254,2.8644,0.9221,0.8583,unique_peak,4.852
pair_0012,pair_0012/reference.png,pair_0012/search.png,low,dram,793.7,703.0,684.63,702.498,109.0707,0.7157,0.9791,tie_break_convention,4.515
pair_0013,pair_0013/reference.png,pair_0013/search.png,medium,finfet,233.3,286.7,232.444,286.194,0.9942,0.9677,0.9413,unique_peak,4.899
pair_0014,pair_0014/reference.png,pair_0014/search.png,high,dram,666.8,669.8,664.563,669.314,2.2897,0.6189,0.96,tie_break_convention,4.266
pair_0015,pair_0015/reference.png,pair_0015/search.png,severe,finfet,799.4,577.8,796.53,577.367,2.9023,0.8428,0.7142,unique_peak,4.537
pair_0016,pair_0016/reference.png,pair_0016/search.png,low,dram,285.0,595.5,284.149,594.898,1.0422,0.9878,0.9779,unique_peak,4.314
pair_0017,pair_0017/reference.png,pair_0017/search.png,medium,finfet,444.6,293.7,443.655,293.214,1.0624,0.9612,0.9294,unique_peak,4.311
pair_0018,pair_0018/reference.png,pair_0018/search.png,high,dram,719.4,863.6,716.823,863.085,2.6285,0.6809,0.9159,tie_break_convention,4.521
pair_0019,pair_0019/reference.png,pair_0019/search.png,severe,finfet,485.8,543.0,486.972,833.543,290.5458,0.7319,0.5125,unique_peak,3.629
pair_0020,pair_0020/reference.png,pair_0020/search.png,low,dram,562.6,180.0,561.983,179.499,0.7945,0.9851,0.9728,unique_peak,3.62
pair_0021,pair_0021/reference.png,pair_0021/search.png,medium,finfet,555.7,593.0,554.292,592.519,1.4883,0.9841,0.9711,unique_peak,4.158
pair_0022,pair_0022/reference.png,pair_0022/search.png,high,dram,117.7,433.5,116.198,468.776,35.3076,0.6331,0.9557,tie_break_convention,3.445
pair_0023,pair_0023/reference.png,pair_0023/search.png,severe,finfet,318.9,397.4,317.203,340.703,56.7221,0.8442,0.7168,unique_peak,4.266
pair_0024,pair_0024/reference.png,pair_0024/search.png,low,dram,437.1,298.7,436.409,298.216,0.8432,0.9851,0.9729,unique_peak,3.504
pair_0025,pair_0025/reference.png,pair_0025/search.png,medium,finfet,244.7,810.7,243.144,810.226,1.6267,0.9694,0.9444,unique_peak,3.444
pair_0026,pair_0026/reference.png,pair_0026/search.png,high,dram,237.3,883.4,234.524,882.787,2.8426,0.9549,0.918,unique_peak,3.975
pair_0027,pair_0027/reference.png,pair_0027/search.png,severe,finfet,290.0,419.0,287.865,370.511,48.536,0.8034,0.7103,unique_peak,3.412
pair_0028,pair_0028/reference.png,pair_0028/search.png,low,dram,216.5,197.7,215.925,197.202,0.7602,0.8503,0.9828,unique_peak,3.673
pair_0029,pair_0029/reference.png,pair_0029/search.png,medium,finfet,840.8,556.0,839.518,555.496,1.3776,0.9845,0.9718,unique_peak,3.777
pair_0030,pair_0030/reference.png,pair_0030/search.png,high,dram,771.0,122.7,770.014,197.919,75.2253,0.5981,0.7653,tie_break_convention,3.442
pair_0031,pair_0031/reference.png,pair_0031/search.png,severe,finfet,272.5,551.8,269.216,551.334,3.3169,0.8247,0.6812,unique_peak,3.413
pair_0032,pair_0032/reference.png,pair_0032/search.png,low,dram,154.7,829.1,153.709,828.602,1.1093,0.8886,0.9758,unique_peak,3.375
pair_0033,pair_0033/reference.png,pair_0033/search.png,medium,finfet,802.3,130.9,801.615,130.418,0.8375,0.9616,0.9302,unique_peak,3.428
