pair_id,reference_path,search_path,style,placement,gt_x,gt_y,pred_x,pred_y,err_px,err_nm,score,theta_est_deg,scale_est,gt_rotation_deg,gt_scale_error,search_dose_e,num_candidates,stage2_used,stage2_margin,runtime_s
pair_0000,pair_0000/reference.png,pair_0000/search.png,dram,uniform,298.2,242.1,297.61003421992064,241.59440353512764,0.7769732343884582,7.7697323438845824,0.9897684454917908,0.0,1.0,0.0,0.0,800.0,1,False,,3.4132795000332408
pair_0001,pair_0001/reference.png,pair_0001/search.png,finfet,near_boundary,300.2,415.4,298.99494927050546,414.9781116694212,1.2767681951450118,12.767681951450118,0.9260662198066711,0.0,0.9925,0.0,0.0,200.0,1,False,0.08258837461471558,4.152867791999597
pair_0002,pair_0002/reference.png,pair_0002/search.png,dram,uniform,368.6,413.1,50.843473210930824,751.9425345137715,464.5249977264613,4645.249977264613,0.9238353967666626,0.0,0.8925,0.0,0.0,60.0,2,False,0.003245607018470764,4.544220209005289
pair_0003,pair_0003/reference.png,pair_0003/search.png,finfet,uniform,133.0,143.1,665.4444566555321,136.60846704244614,532.4840273879995,5324.840273879995,0.8575547337532043,0.0,1.0075,0.0,0.0,25.0,2,False,0.00240972638130188,3.4576140829594806
pair_0004,pair_0004/reference.png,pair_0004/search.png,dram,uniform,570.4,142.4,569.9073708429933,141.9056252911687,0.6979182180350344,6.979182180350344,0.9838839173316956,0.0,0.9925,0.0,0.0,800.0,1,False,,3.332497916999273
pair_0005,pair_0005/reference.png,pair_0005/search.png,finfet,uniform,467.8,678.8,466.32056364417076,636.3705401420593,42.45524462027683,424.5524462027683,0.9822915196418762,0.0,1.0,0.0,0.0,200.0,4,False,0.022318869829177856,3.5131709999986924
pair_0006,pair_0006/reference.png,pair_0006/search.png,dram,uniform,303.8,151.9,302.82813772559166,106.49528425978497,45.415115630483086,454.15115630483086,0.8821194171905518,-0.375,1.0,0.0,0.0,60.0,1,False,0.04964107275009155,3.4712319999816827
pair_0007,pair_0007/reference.png,pair_0007/search.png,finfet,uniform,120.6,289.8,119.11204099655151,289.34981422126293,1.5545704330523291,15.545704330523291,0.6150680184364319,0.0,1.0,0.0,0.0,25.0,1,False,,3.3940770420012996
pair_0008,pair_0008/reference.png,pair_0008/search.png,dram,uniform,79.5,755.2,78.63959068059921,747.4720491040498,7.775701206137612,77.75701206137612,0.9830877780914307,0.0,1.0,0.0,0.0,800.0,2,False,0.2718614339828491,3.7634890420013107
pair_0009,pair_0009/reference.png,pair_0009/search.png,finfet,uniform,616.5,77.7,615.6583671420813,211.49939787847688,133.80204489659528,1338.0204489659527,0.9629002809524536,0.0,1.0,0.0,0.0,200.0,1,False,0.02952711284160614,3.6322716669528745
