pair_id,reference_path,search_path,style,placement,gt_x,gt_y,pred_x,pred_y,err_px,err_nm,score,theta_est_deg,scale_est,gt_rotation_deg,gt_scale_error,search_dose_e,num_candidates,stage2_used,stage2_margin,runtime_s
pair_0000,pair_0000/reference.png,pair_0000/search.png,dram,uniform,176.41940255014902,365.29196970145216,184.50772370351478,365.38553685694933,8.088862336112044,87.51051935480048,0.9359912872314453,0.375,1.1,-0.19334150624478985,0.08186436755286519,1609.2843537506876,2,False,0.0005449652671813965,3.779962250031531
pair_0001,pair_0001/reference.png,pair_0001/search.png,finfet,near_boundary,660.7294641508154,705.1840558523185,659.5421934910119,741.4368611425161,36.27224149440747,345.7681671152563,0.9386799335479736,1.5,0.9575,-1.6600520477192178,-0.046741660096833115,35.143070976992476,3,False,0.04377707839012146,3.5802153749973513
pair_0002,pair_0002/reference.png,pair_0002/search.png,dram,uniform,656.8132697695786,265.69142041253895,499.6694908440113,614.4907608535141,382.5639124996853,4203.75436286312,0.9411206245422363,1.875,1.1,0.7402893894996065,0.09883714211192851,366.749517408994,4,False,0.0019869208335876465,3.8936125420150347
pair_0003,pair_0003/reference.png,pair_0003/search.png,finfet,near_boundary,871.291794451849,252.36294277479192,872.3494834005833,252.3222814053297,1.0584702448539314,10.317848817979407,0.8721374273300171,1.125,1.0,-1.3973579257197435,-0.025211254813944484,520.5401710240102,1,False,,3.520188082999084
pair_0004,pair_0004/reference.png,pair_0004/search.png,dram,uniform,610.508086448989,125.25135852317865,763.0619936734438,936.6786479651928,825.6433495527363,8119.328430552846,0.8551725745201111,1.875,0.95,-1.882019969234407,-0.016605846222680576,455.4126242251813,1,False,0.0004928708076477051,3.5251843750011176
pair_0005,pair_0005/reference.png,pair_0005/search.png,finfet,uniform,908.3949220853342,201.10337158323406,908.5329380482435,201.463043641299,0.3852432937384635,3.744876532136208,0.9309071898460388,1.125,0.94,0.15998695284464892,-0.027919085678216993,1744.546302926516,1,False,0.3337689936161041,3.6786150420084596
pair_0006,pair_0006/reference.png,pair_0006/search.png,dram,uniform,231.57449959701063,806.8350448478507,491.319842427969,47.254497930407524,802.7641312227236,8493.32381642781,0.8827489614486694,0.0,1.0225,0.022349820388856134,0.05800987937655799,94.27535358282239,1,True,0.035801082849502563,3.4941660829936154
pair_0007,pair_0007/reference.png,pair_0007/search.png,finfet,near_boundary,558.8963781264173,223.6075903440829,695.3814116641879,758.7359399199486,552.2594633861844,5948.156092332975,0.7161306738853455,0.0,1.0925,0.8268486131943669,0.07705824647382165,311.3048905365556,1,False,0.06197267770767212,3.4316408750019036
pair_0008,pair_0008/reference.png,pair_0008/search.png,dram,near_boundary,261.18173542334284,446.86135407292204,261.02147306874394,446.4463933110237,0.4448330655614804,4.198064771243142,0.8285504579544067,0.75,0.9425,-1.4462964843661146,-0.05626062982880331,258.18819397799854,1,False,,3.473526749992743
pair_0009,pair_0009/reference.png,pair_0009/search.png,finfet,uniform,364.6712597040573,194.73081139231383,365.3937774002552,194.81521159410477,0.7274305570853127,6.616396261019045,0.9223880767822266,-2.625,0.9,1.9402769120609706,-0.09044290254594323,455.33570619511113,1,False,,3.304616875015199
