magnification,rotation_deg,repeat,style,gt_x,gt_y,pred_x,pred_y,err_px,est_scale,est_rotation_deg,confidence,confidence_regime,runtime_s
8.0,-5.0,0,finfet,250.092,51.558,248.577,60.746,9.3117,0.8,5.0,0.6475,residual_identified,6.831
8.0,-2.5,0,dram,965.668,411.25,246.343,325.502,724.4181,1.095,2.0,0.4776,tie_break_convention,6.236
8.0,0.0,0,finfet,900.75,29.0,899.895,138.634,109.6375,0.8,0.0,0.558,tie_break_convention,5.776
8.0,2.5,0,dram,460.058,908.61,457.996,908.015,2.1455,0.8,-2.25,0.6471,residual_identified,6.518
8.0,5.0,0,finfet,951.665,1025.217,148.776,151.403,1186.6679,1.16,-5.0,0.5742,tie_break_convention,6.848
9.0,-5.0,0,dram,994.732,582.199,65.361,502.362,932.7947,0.9,5.0,0.5933,tie_break_convention,6.352
9.0,-2.5,0,finfet,996.269,597.151,48.536,878.372,988.5763,1.215,1.0,0.746,unique_peak,5.955
9.0,0.0,0,dram,604.167,413.722,603.057,413.181,1.235,0.9,0.0,0.9886,unique_peak,5.568
9.0,2.5,0,finfet,611.332,370.944,611.487,402.51,31.5663,0.9,-2.75,0.6151,tie_break_convention,5.544
9.0,5.0,0,dram,939.973,818.435,938.139,817.912,1.9072,0.9,-5.0,0.9742,unique_peak,5.799
10.0,-5.0,0,finfet,891.765,128.075,891.187,127.544,0.7845,1.0,5.0,0.6053,tie_break_convention,5.357
10.0,-2.5,0,dram,134.948,811.395,165.408,812.35,30.4746,0.995,3.0,0.5928,tie_break_convention,4.76
10.0,0.0,0,finfet,593.7,875.6,591.896,875.138,1.8617,1.0,0.0,0.9505,unique_peak,4.355
10.0,2.5,0,dram,588.698,852.846,586.753,852.399,1.9948,1.0,-2.75,0.9725,unique_peak,3.726
10.0,5.0,0,finfet,594.693,426.425,598.344,481.637,55.3328,1.0,-5.0,0.5931,tie_break_convention,4.822
11.0,-5.0,0,dram,315.72,543.194,314.449,542.648,1.3829,1.095,5.0,0.9695,unique_peak,4.371
11.0,-2.5,0,finfet,587.203,591.595,585.721,591.204,1.5321,1.1,2.25,0.9341,unique_peak,3.801
11.0,0.0,0,dram,447.045,537.682,445.767,537.251,1.3493,1.1,0.0,0.5866,tie_break_convention,4.041
11.0,2.5,0,finfet,557.874,794.416,555.853,794.395,2.0214,1.08,-1.75,0.9619,unique_peak,3.77
11.0,5.0,0,dram,562.816,905.07,560.952,904.648,1.9109,1.1,-5.0,0.8562,unique_peak,4.103
12.0,-5.0,0,finfet,617.581,839.335,637.663,354.423,485.3274,0.88,5.0,0.6055,residual_identified,3.782
12.0,-2.5,0,dram,329.943,200.987,326.439,260.566,59.6823,1.2,3.25,0.5727,residual_identified,4.218
12.0,0.0,0,finfet,793.333,206.75,792.597,256.431,49.6862,1.2,0.25,0.4746,tie_break_convention,4.157
12.0,2.5,0,dram,578.309,457.105,356.484,870.115,468.8102,0.9,-2.75,0.7179,residual_identified,3.876
12.0,5.0,0,finfet,339.627,482.118,338.461,481.708,1.2355,1.2,-5.0,0.4255,tie_break_convention,4.501
