magnification,rotation_deg,repeat,gt_x,gt_y,e_free_px,e_oracle_px,oracle_ok
8.0,0.0,0,403.5,955.875,470.535,466.3627,0
8.0,0.0,1,578.0,1062.625,525.8852,568.5702,0
8.0,0.0,2,209.375,34.0,23.3203,548.5096,0
8.0,0.0,3,598.625,182.0,1.0752,332.6139,0
8.0,0.0,4,205.25,737.375,1.8517,378.3749,0
8.0,0.0,5,248.125,606.0,1.6859,273.0048,0
8.0,-5.0,0,327.435,986.105,442.2952,516.1309,0
8.0,-5.0,1,969.027,294.517,741.6869,512.322,0
8.0,-5.0,2,7.647,535.143,131.6465,493.1429,0
8.0,-5.0,3,703.298,926.638,2.0931,473.2654,0
8.0,-5.0,4,1023.381,644.21,339.5735,543.5002,0
8.0,-5.0,5,614.77,451.238,1.3725,124.9656,0
8.0,5.0,0,173.103,286.888,1.1669,389.5368,0
8.0,5.0,1,1053.31,566.362,438.8204,557.8313,0
8.0,5.0,2,555.16,171.902,1.0774,332.2924,0
8.0,5.0,3,169.923,406.872,1.3593,342.3464,0
8.0,5.0,4,1029.753,157.986,525.806,630.7139,0
8.0,5.0,5,166.934,283.789,1.2676,396.3979,0
9.0,0.0,0,770.611,561.611,81.2661,534.0815,0
9.0,0.0,1,759.167,884.833,1.8407,674.7384,0
9.0,0.0,2,279.833,383.278,1.1097,158.2234,0
9.0,0.0,3,594.389,877.389,1.9481,689.4842,0
9.0,0.0,4,72.056,557.944,1.5818,441.1943,0
9.0,0.0,5,723.611,264.722,1.0808,575.3763,0
9.0,-5.0,0,246.594,263.002,1.0655,490.2088,0
9.0,-5.0,1,973.976,643.512,409.674,384.5259,0
9.0,-5.0,2,598.79,221.317,1.0601,696.2284,0
9.0,-5.0,3,225.291,367.543,27.093,62.6927,0
9.0,-5.0,4,1016.389,282.39,823.8788,691.1416,0
9.0,-5.0,5,241.673,259.337,1.0161,687.563,0
9.0,5.0,0,892.854,513.158,1.4644,407.7323,0
9.0,5.0,1,1036.148,894.007,1071.1472,622.856,0
9.0,5.0,2,628.005,871.94,1.9472,20.1233,0
9.0,5.0,3,392.457,549.576,1.643,367.9628,0
9.0,5.0,4,839.472,31.756,79.0685,865.0298,0
9.0,5.0,5,615.959,991.779,42.6511,578.9031,0
10.0,0.0,0,287.9,935.7,2.0224,689.4991,0
10.0,0.0,1,314.6,914.8,2.0331,663.2372,0
10.0,0.0,2,550.0,422.3,76.1386,498.0012,0
10.0,0.0,3,274.2,928.7,1.9717,675.3937,0
10.0,0.0,4,554.1,950.0,2.0358,509.1046,0
10.0,0.0,5,870.8,391.1,1.1847,622.5709,0
10.0,-5.0,0,846.006,573.08,1.4291,707.2753,0
10.0,-5.0,1,913.491,933.031,222.166,81.1725,0
10.0,-5.0,2,555.191,849.686,1.8336,285.7015,0
10.0,-5.0,3,396.799,527.154,1.5066,325.1342,0
10.0,-5.0,4,873.927,138.058,0.8733,779.5382,0
10.0,-5.0,5,525.786,954.021,1.9966,646.0953,0
10.0,5.0,0,425.055,269.312,1.0128,182.6986,0
10.0,5.0,1,552.038,731.705,1.6618,63.6531,0
10.0,5.0,2,929.073,823.493,1.8526,677.0877,0
10.0,5.0,3,148.346,915.789,2.0176,794.5594,0
10.0,5.0,4,339.972,927.231,2.0394,615.7525,0
10.0,5.0,5,864.41,853.142,1.7957,727.0296,0
11.0,0.0,0,811.682,880.864,1.6844,551.6259,0
11.0,0.0,1,662.045,803.682,1.7398,618.654,0
11.0,0.0,2,669.136,792.773,486.1209,612.0938,0
11.0,0.0,3,573.227,559.591,1.3606,344.8056,0
11.0,0.0,4,456.591,324.955,263.0216,419.7817,0
11.0,0.0,5,198.5,561.773,1.3355,597.949,0
11.0,-5.0,0,469.188,281.666,75.5542,794.7152,0
11.0,-5.0,1,509.88,715.682,389.634,373.1616,0
11.0,-5.0,2,832.941,857.378,1.7131,616.3361,0
11.0,-5.0,3,119.402,816.761,1.7903,723.3286,0
11.0,-5.0,4,289.155,857.256,1.8321,553.9244,0
11.0,-5.0,5,770.37,873.714,1.8488,851.9325,0
11.0,5.0,0,775.924,269.077,1.0448,336.4972,0
11.0,5.0,1,878.327,528.959,1.3389,807.9947,0
11.0,5.0,2,573.468,414.548,1.2384,534.0683,0
11.0,5.0,3,686.257,274.731,0.9371,291.9209,0
11.0,5.0,4,804.983,415.556,1.197,173.2498,0
11.0,5.0,5,319.473,926.36,22.3373,643.7086,0
12.0,0.0,0,834.5,814.833,1.8709,148.2872,0
12.0,0.0,1,329.583,211.167,445.3524,862.7017,0
12.0,0.0,2,185.333,552.25,70.2983,865.4415,0
12.0,0.0,3,551.917,283.833,0.9823,523.4725,0
12.0,0.0,4,308.417,299.5,0.9973,809.233,0
12.0,0.0,5,535.75,562.0,0.9796,454.8707,0
12.0,-5.0,0,785.717,335.488,1.0391,315.2674,0
12.0,-5.0,1,836.793,586.394,1.4751,748.4198,0
12.0,-5.0,2,579.797,434.585,393.4535,490.1128,0
12.0,-5.0,3,703.871,326.32,29.1473,268.7084,0
12.0,-5.0,4,788.634,472.346,53.2818,678.5744,0
12.0,-5.0,5,269.036,856.188,1.6893,666.7661,0
12.0,5.0,0,541.062,673.373,362.3758,260.1974,0
12.0,5.0,1,354.74,715.104,39.4501,665.2989,0
12.0,5.0,2,415.666,592.076,318.3451,563.3057,0
12.0,5.0,3,881.724,765.533,1.6882,224.7185,0
12.0,5.0,4,689.323,566.628,1.6306,523.5397,0
12.0,5.0,5,333.897,554.309,1.428,380.5041,0
