pair_id,set,severity,err,found,seconds,peak
pair_0000,B_degraded,3,0.667,1,2.40,0.9222
pair_0001,B_degraded,1,0.363,1,2.27,0.5769
pair_0002,B_degraded,2,91.058,0,10.97,0.2661
pair_0003,B_degraded,2,0.777,1,3.73,0.4482
pair_0004,B_degraded,1,0.386,1,3.49,0.6446
pair_0005,B_degraded,4,495.298,1,11.12,0.3628
pair_0006,B_degraded,2,62.856,1,4.08,0.6794
pair_0007,B_degraded,3,0.443,1,4.13,0.6560
pair_0008,B_degraded,4,512.174,0,9.77,0.1720
pair_0009,A_nominal,0,0.101,1,3.59,0.8845
pair_0010,A_nominal,0,0.075,1,3.58,0.6751
pair_0011,B_degraded,4,0.680,1,14.11,0.2927
pair_0012,B_degraded,3,0.140,1,3.03,0.5819
pair_0013,B_degraded,2,0.324,1,2.91,0.3576
pair_0014,B_degraded,3,0.062,1,3.61,0.9356
pair_0015,B_degraded,1,0.396,1,3.25,0.8667
pair_0016,A_nominal,0,0.115,1,4.19,0.8829
pair_0017,B_degraded,3,917.718,0,13.79,0.1971
pair_0018,B_degraded,3,268.226,0,13.15,0.3183
pair_0019,B_degraded,3,0.263,0,3.03,0.8900
pair_0020,B_degraded,1,0.136,1,3.95,0.8479
pair_0021,B_degraded,4,505.569,0,9.88,0.5383
pair_0022,B_degraded,3,0.023,1,3.73,0.9212
pair_0023,B_degraded,2,429.478,0,10.86,0.3300
pair_0024,B_degraded,4,387.793,0,10.13,0.2462
pair_0025,B_degraded,1,0.058,1,3.02,0.7822
pair_0026,A_nominal,0,0.454,1,3.37,0.9678
pair_0027,B_degraded,3,1.096,1,3.72,0.8984
pair_0028,B_degraded,2,485.644,0,9.10,0.2665
pair_0029,B_degraded,4,660.962,0,9.35,0.1898
pair_0030,B_degraded,2,0.357,1,3.23,0.5669
pair_0031,A_nominal,0,53.966,1,2.80,0.7192
pair_0032,B_degraded,2,50.520,0,8.42,0.4589
pair_0033,A_nominal,0,0.129,1,2.77,0.8079
pair_0034,A_nominal,0,0.366,1,2.55,0.9530
pair_0035,B_degraded,1,108.682,1,3.23,0.7437
pair_0036,B_degraded,1,0.282,1,3.66,0.6165
pair_0037,B_degraded,3,0.428,1,3.15,0.5022
pair_0038,B_degraded,4,0.652,1,3.92,0.4026
pair_0039,A_nominal,0,461.365,0,10.83,0.3715
pair_0040,A_nominal,0,0.252,1,3.27,0.7645
pair_0041,B_degraded,1,0.151,1,2.91,0.4110
pair_0042,B_degraded,3,499.585,1,10.18,0.3294
pair_0043,A_nominal,0,0.303,1,3.85,0.8833
pair_0044,B_degraded,1,0.580,1,3.27,0.9737
pair_0045,B_degraded,2,0.283,1,2.82,0.9221
pair_0046,B_degraded,4,1.055,1,3.80,0.3309
pair_0047,B_degraded,4,613.363,0,10.30,0.2550
pair_0048,B_degraded,4,1.545,1,3.35,0.4603
pair_0049,B_degraded,1,482.517,0,9.71,0.3142
pair_0050,B_degraded,2,590.083,0,9.94,0.3915
pair_0051,A_nominal,0,0.207,1,3.08,0.8063
pair_0052,B_degraded,2,0.501,1,3.07,0.5147
pair_0053,B_degraded,4,314.973,0,10.06,0.2858
pair_0054,A_nominal,0,0.182,1,3.65,0.6720
pair_0055,B_degraded,1,0.537,1,3.68,0.7606
pair_0056,B_degraded,1,0.339,1,2.96,0.8873
pair_0057,B_degraded,3,0.876,1,3.63,0.8776
pair_0058,B_degraded,3,0.336,1,3.28,0.9149
pair_0059,B_degraded,4,583.324,0,10.29,0.3504
pair_0060,B_degraded,2,0.158,1,2.92,0.9497
pair_0061,A_nominal,0,0.142,1,3.74,0.8115
pair_0062,A_nominal,0,0.048,1,3.35,0.9801
pair_0063,B_degraded,4,64.445,0,10.15,0.3251
pair_0064,B_degraded,1,0.095,1,3.06,0.8510
pair_0065,B_degraded,4,598.422,0,10.96,0.2188
pair_0066,B_degraded,4,0.237,1,3.23,0.6819
pair_0067,B_degraded,3,351.320,0,10.03,0.5821
pair_0068,A_nominal,0,0.132,1,3.74,0.9599
pair_0069,B_degraded,2,0.305,1,2.88,0.6951
pair_0070,B_degraded,2,0.146,1,2.96,0.8614
pair_0071,B_degraded,2,0.583,1,3.50,0.9130
pair_0072,A_nominal,0,552.335,0,9.00,0.5497
pair_0073,B_degraded,1,0.224,1,3.77,0.8234
pair_0074,B_degraded,4,661.782,0,10.05,0.2066
pair_0075,A_nominal,0,315.889,0,9.55,0.3585
pair_0076,B_degraded,2,0.862,1,3.48,0.7166
pair_0077,B_degraded,1,0.261,1,3.16,0.8222
pair_0078,A_nominal,0,0.056,1,3.72,0.8680
pair_0079,B_degraded,3,1.665,1,3.71,0.3939
pair_0080,B_degraded,1,0.103,1,3.18,0.7586
pair_0081,B_degraded,1,0.170,1,4.01,0.6668
pair_0082,B_degraded,2,38.879,1,10.11,0.5064
pair_0083,A_nominal,0,0.240,1,2.84,0.8432
pair_0084,B_degraded,3,45.613,1,8.61,0.3798
pair_0085,B_degraded,1,0.374,1,2.78,0.8352
pair_0086,A_nominal,0,0.130,1,2.50,0.8892
pair_0087,B_degraded,3,0.651,1,2.67,0.9058
pair_0088,A_nominal,0,0.895,1,2.80,0.7726
pair_0089,A_nominal,0,100.555,1,8.11,0.6498
pair_0090,B_degraded,3,332.015,0,7.70,0.2994
pair_0091,B_degraded,2,27.150,0,2.60,0.6237
pair_0092,B_degraded,3,0.692,1,2.60,0.5652
pair_0093,B_degraded,3,1.061,1,7.20,0.3165
pair_0094,B_degraded,3,746.978,0,8.93,0.3519
pair_0095,B_degraded,3,0.818,1,3.13,0.8297
pair_0096,A_nominal,0,337.876,0,12.99,0.4400
pair_0097,A_nominal,0,0.480,1,9.19,0.9179
pair_0098,B_degraded,4,0.857,1,13.74,0.6229
pair_0099,B_degraded,1,0.102,1,10.65,0.7296
pair_0100,B_degraded,2,0.578,0,13.03,0.8541
pair_0101,A_nominal,0,0.160,1,11.52,0.7598
pair_0102,A_nominal,0,11.144,1,7.99,0.6844
pair_0103,B_degraded,4,377.634,1,34.22,0.1999
pair_0104,B_degraded,4,182.179,1,20.94,0.2568
pair_0105,B_degraded,1,0.228,1,6.27,0.9784
pair_0106,B_degraded,1,54.133,1,6.23,0.8912
pair_0107,A_nominal,0,55.711,1,3.15,0.6702
pair_0108,B_degraded,2,0.287,1,3.10,0.9389
pair_0109,B_degraded,2,0.282,1,8.57,0.3948
pair_0110,B_degraded,3,389.830,0,7.75,0.4369
pair_0111,B_degraded,4,549.291,0,8.40,0.2532
pair_0112,B_degraded,4,63.699,0,8.16,0.5859
pair_0113,B_degraded,2,0.148,1,2.67,0.8434
pair_0114,B_degraded,2,0.430,1,2.72,0.7634
pair_0115,A_nominal,0,0.308,1,2.94,0.8258
pair_0116,B_degraded,1,485.618,0,8.50,0.3469
pair_0117,A_nominal,0,36.525,1,3.50,0.7098
pair_0118,A_nominal,0,664.120,0,14.45,0.3955
pair_0119,B_degraded,4,536.295,1,41.82,0.3639
pair_0120,B_degraded,2,0.217,1,22.99,0.4480
pair_0121,B_degraded,1,0.291,1,12.28,0.6905
pair_0122,B_degraded,3,344.929,0,9.87,0.4673
pair_0123,B_degraded,2,0.337,1,2.84,0.9676
pair_0124,B_degraded,2,0.176,1,9.23,0.5490
pair_0125,A_nominal,0,10.714,0,8.38,0.5198
pair_0126,B_degraded,4,688.632,0,8.10,0.2178
pair_0127,B_degraded,1,0.262,1,2.42,0.6380
pair_0128,B_degraded,2,1.202,1,8.16,0.3308
pair_0129,B_degraded,2,0.191,1,2.63,0.5864
pair_0130,B_degraded,3,0.015,1,2.74,0.9303
pair_0131,B_degraded,1,68.669,0,2.95,0.7365
pair_0132,A_nominal,0,0.060,1,2.93,0.8943
pair_0133,A_nominal,0,0.063,1,2.54,0.8668
pair_0134,B_degraded,3,447.098,0,8.73,0.2619
pair_0135,B_degraded,1,0.379,1,2.71,0.7060
pair_0136,B_degraded,3,0.720,1,2.72,0.8376
pair_0137,B_degraded,4,193.705,1,8.30,0.4416
pair_0138,A_nominal,0,178.606,0,9.18,0.2496
pair_0139,B_degraded,2,1.058,1,3.64,0.7169
pair_0140,B_degraded,3,0.290,1,3.85,0.3879
pair_0141,A_nominal,0,0.024,1,2.83,0.9683
pair_0142,B_degraded,3,26.800,0,10.01,0.4015
pair_0143,B_degraded,2,147.774,1,9.99,0.5926
pair_0144,A_nominal,0,0.252,1,3.75,0.8777
pair_0145,A_nominal,0,0.080,1,3.56,0.8967
pair_0146,B_degraded,4,56.519,0,10.34,0.2566
pair_0147,B_degraded,3,1.658,1,3.50,0.8836
pair_0148,A_nominal,0,240.223,0,3.25,0.6377
pair_0149,B_degraded,2,0.319,1,3.78,0.7682
pair_0150,A_nominal,0,0.083,1,3.21,0.9131
pair_0151,B_degraded,1,792.138,0,10.08,0.3980
pair_0152,A_nominal,0,67.715,1,2.86,0.6372
pair_0153,A_nominal,0,0.019,1,3.16,0.9751
pair_0154,B_degraded,3,632.617,0,11.50,0.5060
pair_0155,B_degraded,3,0.901,1,3.31,0.3289
pair_0156,B_degraded,4,661.062,0,10.37,0.3181
pair_0157,B_degraded,3,275.333,0,9.59,0.5649
pair_0158,B_degraded,3,665.642,1,3.33,0.6363
pair_0159,B_degraded,4,555.819,0,9.94,0.2387
pair_0160,B_degraded,4,0.268,1,2.91,0.8364
pair_0161,A_nominal,0,0.274,1,3.47,0.7293
pair_0162,B_degraded,2,788.648,0,3.19,0.6321
pair_0163,B_degraded,4,486.912,0,11.12,0.2877
pair_0164,B_degraded,3,411.562,1,3.31,0.6744
pair_0165,B_degraded,3,511.706,1,3.65,0.3817
pair_0166,B_degraded,2,34.533,1,11.05,0.6066
pair_0167,B_degraded,1,0.120,1,3.05,0.7001
pair_0168,B_degraded,2,469.797,0,2.92,0.8783
pair_0169,B_degraded,2,0.346,1,3.21,0.7900
pair_0170,A_nominal,0,538.783,1,3.23,0.4758
pair_0171,B_degraded,2,22.220,0,3.03,0.7416
pair_0172,B_degraded,2,0.123,1,2.82,0.9341
pair_0173,B_degraded,2,0.552,1,3.40,0.5819
pair_0174,B_degraded,1,0.109,1,2.89,0.8713
pair_0175,B_degraded,3,210.543,1,2.70,0.8717
pair_0176,A_nominal,0,0.072,1,2.93,0.8988
pair_0177,B_degraded,2,1.025,1,3.42,0.7213
pair_0178,B_degraded,3,41.103,0,9.07,0.1753
pair_0179,B_degraded,1,0.114,1,2.97,0.6052
pair_0180,A_nominal,0,0.080,1,2.73,0.7789
pair_0181,B_degraded,1,0.104,1,3.24,0.7468
pair_0182,B_degraded,2,0.142,1,3.49,0.6250
pair_0183,B_degraded,2,0.339,1,2.64,0.6916
pair_0184,B_degraded,2,0.480,1,2.76,0.9415
pair_0185,B_degraded,1,55.460,0,3.77,0.6981
pair_0186,A_nominal,0,0.199,1,2.99,0.7695
pair_0187,A_nominal,0,0.168,1,2.92,0.9479
pair_0188,B_degraded,1,0.091,1,3.16,0.7830
pair_0189,B_degraded,3,314.569,0,9.84,0.2356
pair_0190,B_degraded,2,56.191,0,9.10,0.5321
pair_0191,B_degraded,4,358.670,0,9.07,0.2296
pair_0192,A_nominal,0,0.069,1,2.82,0.9103
pair_0193,B_degraded,3,639.425,0,9.34,0.3561
pair_0194,A_nominal,0,0.078,1,3.30,0.8525
pair_0195,B_degraded,4,446.715,0,8.48,0.2802
pair_0196,B_degraded,4,788.121,0,3.28,0.7429
pair_0197,A_nominal,0,0.267,1,2.94,0.8793
pair_0198,B_degraded,3,978.038,0,9.39,0.4235
pair_0199,B_degraded,3,738.946,1,8.70,0.3597
