pair_id,set,severity,err,found,seconds,peak
pair_0000,B_degraded,3,0.667,1,2.37,0.9222
pair_0001,B_degraded,1,0.363,1,2.27,0.5769
pair_0002,B_degraded,2,91.058,0,4.86,0.2661
pair_0003,B_degraded,2,0.777,1,2.35,0.4482
pair_0004,B_degraded,1,0.386,1,2.46,0.6446
pair_0005,B_degraded,4,495.298,1,5.00,0.3628
pair_0006,B_degraded,2,62.856,1,2.33,0.6794
pair_0007,B_degraded,3,0.443,1,2.62,0.6560
pair_0008,B_degraded,4,831.271,1,5.09,0.1864
pair_0009,A_nominal,0,0.101,1,2.51,0.8845
pair_0010,A_nominal,0,0.075,1,2.38,0.6751
pair_0011,B_degraded,4,0.680,1,4.92,0.2927
pair_0012,B_degraded,3,0.140,1,2.44,0.5819
pair_0013,B_degraded,2,0.324,1,2.36,0.3576
pair_0014,B_degraded,3,0.062,1,2.53,0.9356
pair_0015,B_degraded,1,0.396,1,2.50,0.8667
pair_0016,A_nominal,0,0.115,1,2.49,0.8829
pair_0017,B_degraded,3,917.718,0,4.77,0.1971
pair_0018,B_degraded,3,1.565,1,4.68,0.5775
pair_0019,B_degraded,3,0.263,0,2.37,0.8900
pair_0020,B_degraded,1,0.136,1,2.34,0.8479
pair_0021,B_degraded,4,507.141,0,4.92,0.3490
pair_0022,B_degraded,3,0.023,1,2.45,0.9212
pair_0023,B_degraded,2,429.478,0,4.53,0.3300
pair_0024,B_degraded,4,387.793,0,4.83,0.2462
pair_0025,B_degraded,1,0.058,1,2.41,0.7822
pair_0026,A_nominal,0,0.454,1,2.34,0.9678
pair_0027,B_degraded,3,1.096,1,2.42,0.8984
pair_0028,B_degraded,2,0.466,1,2.31,0.5806
pair_0029,B_degraded,4,660.962,0,4.55,0.1898
pair_0030,B_degraded,2,0.357,1,2.39,0.5669
pair_0031,A_nominal,0,0.217,1,2.59,0.8861
pair_0032,B_degraded,2,50.520,0,4.51,0.4589
pair_0033,A_nominal,0,0.129,1,2.49,0.8079
pair_0034,A_nominal,0,0.366,1,2.37,0.9530
pair_0035,B_degraded,1,108.682,1,2.45,0.7437
pair_0036,B_degraded,1,0.282,1,2.35,0.6165
pair_0037,B_degraded,3,0.428,1,2.51,0.5022
pair_0038,B_degraded,4,0.652,1,2.35,0.4026
pair_0039,A_nominal,0,461.365,0,4.61,0.3715
pair_0040,A_nominal,0,0.252,1,2.37,0.7645
pair_0041,B_degraded,1,0.151,1,2.36,0.4110
pair_0042,B_degraded,3,499.585,1,4.92,0.3294
pair_0043,A_nominal,0,0.303,1,2.41,0.8833
pair_0044,B_degraded,1,0.580,1,2.39,0.9737
pair_0045,B_degraded,2,0.283,1,2.36,0.9221
pair_0046,B_degraded,4,1.055,1,2.76,0.3309
pair_0047,B_degraded,4,613.363,0,5.05,0.2550
pair_0048,B_degraded,4,1.545,1,2.42,0.4603
pair_0049,B_degraded,1,0.047,1,4.75,0.7931
pair_0050,B_degraded,2,590.083,0,4.92,0.3915
pair_0051,A_nominal,0,0.207,1,2.54,0.8063
pair_0052,B_degraded,2,0.501,1,2.40,0.5147
pair_0053,B_degraded,4,314.973,0,4.85,0.2858
pair_0054,A_nominal,0,0.182,1,2.51,0.6720
pair_0055,B_degraded,1,0.537,1,2.85,0.7606
pair_0056,B_degraded,1,0.339,1,2.45,0.8873
pair_0057,B_degraded,3,0.876,1,2.45,0.8776
pair_0058,B_degraded,3,0.336,1,2.49,0.9149
pair_0059,B_degraded,4,583.324,0,4.91,0.3504
