pair_id,set,severity,err,found,seconds,peak
pair_0000,B_degraded,3,0.667,1,2.32,0.9222
pair_0001,B_degraded,1,0.363,1,2.53,0.5769
pair_0002,B_degraded,2,91.058,0,4.87,0.2661
pair_0003,B_degraded,2,0.777,1,2.31,0.4482
pair_0004,B_degraded,1,0.386,1,2.50,0.6446
pair_0005,B_degraded,4,495.298,1,5.03,0.3628
pair_0006,B_degraded,2,62.856,1,2.27,0.6794
pair_0007,B_degraded,3,0.443,1,2.51,0.6560
pair_0008,B_degraded,4,512.174,0,4.88,0.1720
pair_0009,A_nominal,0,0.101,1,2.46,0.8845
pair_0010,A_nominal,0,0.075,1,2.35,0.6751
pair_0011,B_degraded,4,0.680,1,4.78,0.2927
pair_0012,B_degraded,3,0.140,1,2.31,0.5819
pair_0013,B_degraded,2,0.324,1,2.32,0.3576
pair_0014,B_degraded,3,0.062,1,2.52,0.9356
pair_0015,B_degraded,1,0.396,1,2.39,0.8667
pair_0016,A_nominal,0,0.115,1,2.46,0.8829
pair_0017,B_degraded,3,917.718,0,4.76,0.1971
pair_0018,B_degraded,3,268.226,0,4.51,0.3183
pair_0019,B_degraded,3,0.263,0,2.37,0.8900
pair_0020,B_degraded,1,0.136,1,2.35,0.8479
pair_0021,B_degraded,4,505.569,0,4.77,0.5383
pair_0022,B_degraded,3,0.023,1,2.38,0.9212
pair_0023,B_degraded,2,429.478,0,5.53,0.3300
pair_0024,B_degraded,4,387.793,0,4.74,0.2462
pair_0025,B_degraded,1,0.058,1,2.39,0.7822
pair_0026,A_nominal,0,0.454,1,2.35,0.9678
pair_0027,B_degraded,3,1.096,1,2.32,0.8984
pair_0028,B_degraded,2,485.644,0,5.50,0.2665
pair_0029,B_degraded,4,660.962,0,4.51,0.1898
pair_0030,B_degraded,2,0.357,1,2.37,0.5669
pair_0031,A_nominal,0,53.966,1,2.47,0.7192
pair_0032,B_degraded,2,50.520,0,5.53,0.4589
pair_0033,A_nominal,0,0.129,1,2.47,0.8079
pair_0034,A_nominal,0,0.366,1,2.24,0.9530
pair_0035,B_degraded,1,108.682,1,2.32,0.7437
pair_0036,B_degraded,1,0.282,1,2.35,0.6165
pair_0037,B_degraded,3,0.428,1,2.55,0.5022
pair_0038,B_degraded,4,0.652,1,2.30,0.4026
pair_0039,A_nominal,0,461.365,0,5.58,0.3715
pair_0040,A_nominal,0,0.252,1,2.34,0.7645
pair_0041,B_degraded,1,0.151,1,2.32,0.4110
pair_0042,B_degraded,3,499.585,1,4.75,0.3294
pair_0043,A_nominal,0,0.303,1,2.34,0.8833
pair_0044,B_degraded,1,0.580,1,2.33,0.9737
pair_0045,B_degraded,2,0.283,1,2.19,0.9221
pair_0046,B_degraded,4,1.055,1,2.47,0.3309
pair_0047,B_degraded,4,613.363,0,4.89,0.2550
pair_0048,B_degraded,4,1.545,1,2.32,0.4603
pair_0049,B_degraded,1,482.517,0,4.51,0.3142
pair_0050,B_degraded,2,590.083,0,4.75,0.3915
pair_0051,A_nominal,0,0.207,1,2.37,0.8063
pair_0052,B_degraded,2,0.501,1,2.32,0.5147
pair_0053,B_degraded,4,314.973,0,4.84,0.2858
pair_0054,A_nominal,0,0.182,1,2.47,0.6720
pair_0055,B_degraded,1,0.537,1,2.55,0.7606
pair_0056,B_degraded,1,0.339,1,2.37,0.8873
pair_0057,B_degraded,3,0.876,1,2.34,0.8776
pair_0058,B_degraded,3,0.336,1,2.34,0.9149
