suite,pair,err
control,0,530.253
control,1,231.971
control,2,699.085
control,3,381.933
control,4,562.673
control,5,526.318
control,6,668.627
control,7,0.903
control,8,0.204
control,9,0.383
control,10,713.891
control,11,279.899
control,12,614.446
control,13,792.286
control,14,477.334
control,15,0.981
control,16,811.238
control,17,50.481
control,18,29.107
control,19,523.498
no_dose,0,1.177
no_dose,1,1.998
no_dose,2,386.865
no_dose,3,795.235
no_dose,4,58.472
no_dose,5,520.279
no_dose,6,1.264
no_dose,7,0.701
no_dose,8,0.086
no_dose,9,0.080
no_dose,10,0.556
no_dose,11,571.642
no_dose,12,0.429
no_dose,13,816.408
no_dose,14,575.651
no_dose,15,0.426
no_dose,16,1.153
no_dose,17,0.974
no_dose,18,6.374
no_dose,19,1.119
no_psf,0,822.440
no_psf,1,3.471
no_psf,2,70.482
no_psf,3,643.756
no_psf,4,60.348
no_psf,5,419.623
no_psf,6,398.286
no_psf,7,0.579
no_psf,8,0.088
no_psf,9,0.054
no_psf,10,0.596
no_psf,11,507.256
no_psf,12,615.235
no_psf,13,43.115
no_psf,14,0.304
no_psf,15,0.409
no_psf,16,521.081
no_psf,17,244.593
no_psf,18,33.666
no_psf,19,0.457
no_charge,0,530.253
no_charge,1,231.971
no_charge,2,718.030
no_charge,3,381.933
no_charge,4,371.845
no_charge,5,526.318
no_charge,6,668.627
no_charge,7,0.903
no_charge,8,0.204
no_charge,9,969.671
no_charge,10,713.891
no_charge,11,480.806
no_charge,12,614.446
no_charge,13,616.747
no_charge,14,624.048
no_charge,15,0.981
no_charge,16,811.238
no_charge,17,50.481
no_charge,18,39.034
no_charge,19,65.240
no_drift,0,845.190
no_drift,1,622.106
no_drift,2,578.790
no_drift,3,636.305
no_drift,4,551.930
no_drift,5,592.005
no_drift,6,605.667
no_drift,7,2.370
no_drift,8,0.534
no_drift,9,911.035
no_drift,10,683.926
no_drift,11,566.236
no_drift,12,0.498
no_drift,13,565.713
no_drift,14,682.849
no_drift,15,1.027
no_drift,16,494.212
no_drift,17,338.418
no_drift,18,33.168
no_drift,19,474.769
no_jitter,0,572.329
no_jitter,1,3.182
no_jitter,2,762.153
no_jitter,3,784.843
no_jitter,4,251.758
no_jitter,5,391.785
no_jitter,6,423.732
no_jitter,7,1.784
no_jitter,8,0.487
no_jitter,9,0.290
no_jitter,10,652.114
no_jitter,11,543.666
no_jitter,12,0.150
no_jitter,13,895.592
no_jitter,14,0.418
no_jitter,15,0.097
no_jitter,16,631.762
no_jitter,17,774.775
no_jitter,18,27.529
no_jitter,19,337.733
no_poly,0,842.994
no_poly,1,1.033
no_poly,2,648.271
no_poly,3,2.119
no_poly,4,241.250
no_poly,5,497.661
no_poly,6,69.767
no_poly,7,0.617
no_poly,8,0.205
no_poly,9,593.761
no_poly,10,394.884
no_poly,11,543.852
no_poly,12,893.093
no_poly,13,575.179
no_poly,14,78.163
no_poly,15,0.550
no_poly,16,565.488
no_poly,17,391.276
no_poly,18,57.265
no_poly,19,0.977
