pair_id,set,severity,reference_path,search_path,style,modality,found,gt_x,gt_y,gt_zoom,gt_rotation_deg,seed
pair_0000,D_optical,0,pair_0000/reference.png,pair_0000/search.png,dram,optical,1,776.085,322.615,10.90153,4.8734,8101024303
pair_0001,D_optical,0,pair_0001/reference.png,pair_0001/search.png,finfet,optical,1,433.704,518.842,8.68175,1.4547,8101024304
pair_0002,D_optical,0,pair_0002/reference.png,pair_0002/search.png,finfet,optical,1,598.669,529.898,11.66651,3.2529,8101024305
pair_0003,D_optical,0,pair_0003/reference.png,pair_0003/search.png,finfet,optical,1,302.776,105.718,8.27345,0.6995,8101024306
pair_0004,D_optical,0,pair_0004/reference.png,pair_0004/search.png,finfet,optical,1,479.520,366.408,9.22650,2.9762,8101024307
pair_0005,D_optical,0,pair_0005/reference.png,pair_0005/search.png,dram,optical,1,152.556,837.018,9.51564,-3.6976,8101024308
pair_0006,D_optical,0,pair_0006/reference.png,pair_0006/search.png,finfet,optical,1,565.128,714.604,9.62168,-4.7891,8101024309
pair_0007,D_optical,0,pair_0007/reference.png,pair_0007/search.png,finfet,optical,1,179.796,406.875,10.15109,-0.0198,8101024310
pair_0008,D_optical,0,pair_0008/reference.png,pair_0008/search.png,dram,optical,1,198.056,497.495,8.29715,-4.4003,8101024311
pair_0009,D_optical,0,pair_0009/reference.png,pair_0009/search.png,finfet,optical,1,296.476,325.077,8.47340,-1.3346,8101024312
pair_0010,D_optical,0,pair_0010/reference.png,pair_0010/search.png,dram,optical,1,870.523,470.071,11.67040,-0.2991,8101024313
pair_0011,D_optical,0,pair_0011/reference.png,pair_0011/search.png,dram,optical,1,202.683,256.988,10.44485,-4.6468,8101024314
pair_0012,D_optical,0,pair_0012/reference.png,pair_0012/search.png,dram,optical,1,834.074,717.211,9.78018,-3.1620,8101024315
pair_0013,D_optical,0,pair_0013/reference.png,pair_0013/search.png,finfet,optical,1,589.728,138.543,8.57608,-2.8710,8101024316
pair_0014,D_optical,0,pair_0014/reference.png,pair_0014/search.png,finfet,optical,1,686.233,281.979,10.66179,-1.6180,8101024317
pair_0015,D_optical,0,pair_0015/reference.png,pair_0015/search.png,finfet,optical,1,72.699,149.647,11.00937,-3.7131,8101024318
pair_0016,D_optical,0,pair_0016/reference.png,pair_0016/search.png,dram,optical,1,304.037,574.554,9.00911,-0.6428,8101024319
pair_0017,D_optical,0,pair_0017/reference.png,pair_0017/search.png,dram,optical,1,473.666,280.926,9.19701,1.8033,8101024320
pair_0018,D_optical,0,pair_0018/reference.png,pair_0018/search.png,finfet,optical,1,319.731,607.485,8.60445,-2.5035,8101024321
pair_0019,D_optical,0,pair_0019/reference.png,pair_0019/search.png,dram,optical,1,534.728,757.053,10.36961,-2.1209,8101024322
pair_0020,D_optical,0,pair_0020/reference.png,pair_0020/search.png,finfet,optical,1,78.220,689.987,8.85621,2.2518,8101024323
pair_0021,D_optical,0,pair_0021/reference.png,pair_0021/search.png,dram,optical,1,476.641,390.351,11.27578,-2.5267,8101024324
pair_0022,D_optical,0,pair_0022/reference.png,pair_0022/search.png,dram,optical,1,812.661,328.087,11.90137,0.3260,8101024325
pair_0023,D_optical,0,pair_0023/reference.png,pair_0023/search.png,dram,optical,1,327.072,707.270,10.48611,-0.2559,8101024326
pair_0024,D_optical,0,pair_0024/reference.png,pair_0024/search.png,dram,optical,1,796.012,819.713,8.87194,4.6385,8101024327
pair_0025,D_optical,0,pair_0025/reference.png,pair_0025/search.png,finfet,optical,1,709.342,89.443,9.13356,3.2705,8101024328
pair_0026,D_optical,0,pair_0026/reference.png,pair_0026/search.png,dram,optical,1,813.402,108.565,10.39149,-2.3793,8101024329
pair_0027,D_optical,0,pair_0027/reference.png,pair_0027/search.png,finfet,optical,1,220.879,662.178,11.22669,2.7445,8101024330
pair_0028,D_optical,0,pair_0028/reference.png,pair_0028/search.png,finfet,optical,1,528.407,645.175,11.59446,-2.7721,8101024331
pair_0029,D_optical,0,pair_0029/reference.png,pair_0029/search.png,dram,optical,1,716.935,476.323,9.02984,3.9289,8101024332
pair_0030,D_optical,0,pair_0030/reference.png,pair_0030/search.png,finfet,optical,1,629.419,252.592,10.94879,-1.2529,8101024333
pair_0031,D_optical,0,pair_0031/reference.png,pair_0031/search.png,finfet,optical,1,215.107,200.413,8.07867,0.0796,8101024334
pair_0032,D_optical,0,pair_0032/reference.png,pair_0032/search.png,dram,optical,1,423.239,911.449,11.02557,3.0480,8101024335
pair_0033,D_optical,0,pair_0033/reference.png,pair_0033/search.png,dram,optical,1,391.568,299.822,10.01650,4.8820,8101024336
pair_0034,D_optical,0,pair_0034/reference.png,pair_0034/search.png,finfet,optical,1,655.170,406.270,11.91293,-3.0811,8101024337
pair_0035,D_optical,0,pair_0035/reference.png,pair_0035/search.png,finfet,optical,1,203.765,745.875,10.76157,-3.6142,8101024338
pair_0036,D_optical,0,pair_0036/reference.png,pair_0036/search.png,dram,optical,1,569.447,191.519,9.76664,-4.5018,8101024339
pair_0037,D_optical,0,pair_0037/reference.png,pair_0037/search.png,finfet,optical,1,100.846,441.597,10.97585,2.6839,8101024340
pair_0038,D_optical,0,pair_0038/reference.png,pair_0038/search.png,finfet,optical,1,707.817,791.426,10.66105,4.8402,8101024341
pair_0039,D_optical,0,pair_0039/reference.png,pair_0039/search.png,dram,optical,1,281.203,458.747,9.18056,0.6671,8101024342
pair_0040,D_optical,0,pair_0040/reference.png,pair_0040/search.png,finfet,optical,1,365.505,868.425,11.12027,-1.8872,8101024343
pair_0041,D_optical,0,pair_0041/reference.png,pair_0041/search.png,finfet,optical,1,512.095,493.220,9.68030,4.0940,8101024344
pair_0042,D_optical,0,pair_0042/reference.png,pair_0042/search.png,finfet,optical,1,536.575,461.305,9.33090,-3.8341,8101024345
pair_0043,D_optical,0,pair_0043/reference.png,pair_0043/search.png,finfet,optical,1,703.522,395.859,10.55493,1.2661,8101024346
pair_0044,D_optical,0,pair_0044/reference.png,pair_0044/search.png,dram,optical,1,900.563,828.423,8.54470,2.5619,8101024347
pair_0045,D_optical,0,pair_0045/reference.png,pair_0045/search.png,dram,optical,1,152.313,265.153,8.43213,2.3973,8101024348
pair_0046,D_optical,0,pair_0046/reference.png,pair_0046/search.png,dram,optical,1,875.272,815.772,11.76841,1.3158,8101024349
pair_0047,D_optical,0,pair_0047/reference.png,pair_0047/search.png,finfet,optical,1,258.003,921.060,10.93674,2.4977,8101024350
pair_0048,D_optical,0,pair_0048/reference.png,pair_0048/search.png,dram,optical,1,732.937,543.260,11.21227,-4.9648,8101024351
pair_0049,D_optical,0,pair_0049/reference.png,pair_0049/search.png,finfet,optical,1,255.283,98.823,8.92915,2.2458,8101024352
pair_0050,D_optical,0,pair_0050/reference.png,pair_0050/search.png,finfet,optical,1,516.973,736.302,11.04072,-4.1242,8101024353
pair_0051,D_optical,0,pair_0051/reference.png,pair_0051/search.png,finfet,optical,1,706.332,769.812,8.70867,2.7046,8101024354
pair_0052,D_optical,0,pair_0052/reference.png,pair_0052/search.png,finfet,optical,1,533.648,867.852,11.81291,-0.3935,8101024355
pair_0053,D_optical,0,pair_0053/reference.png,pair_0053/search.png,dram,optical,1,289.831,865.766,10.82385,-0.9139,8101024356
pair_0054,D_optical,0,pair_0054/reference.png,pair_0054/search.png,finfet,optical,1,879.665,601.355,10.67382,-4.2500,8101024357
pair_0055,D_optical,0,pair_0055/reference.png,pair_0055/search.png,dram,optical,1,711.007,544.605,9.73033,-2.8325,8101024358
pair_0056,D_optical,0,pair_0056/reference.png,pair_0056/search.png,finfet,optical,1,479.042,565.240,11.29856,1.0991,8101024359
pair_0057,D_optical,0,pair_0057/reference.png,pair_0057/search.png,dram,optical,1,710.158,270.511,10.48878,0.1437,8101024360
pair_0058,D_optical,0,pair_0058/reference.png,pair_0058/search.png,dram,optical,1,228.687,687.501,8.30356,-0.3525,8101024361
pair_0059,D_optical,0,pair_0059/reference.png,pair_0059/search.png,finfet,optical,1,481.274,182.499,8.31643,3.9610,8101024362
pair_0060,D_optical,0,pair_0060/reference.png,pair_0060/search.png,dram,optical,1,483.090,670.855,10.33253,3.4651,8101024363
pair_0061,D_optical,0,pair_0061/reference.png,pair_0061/search.png,finfet,optical,1,625.230,245.977,11.00469,0.0824,8101024364
pair_0062,D_optical,0,pair_0062/reference.png,pair_0062/search.png,finfet,optical,1,309.675,732.367,8.04093,2.4775,8101024365
pair_0063,D_optical,0,pair_0063/reference.png,pair_0063/search.png,dram,optical,1,851.213,291.278,8.35845,0.9425,8101024366
pair_0064,D_optical,0,pair_0064/reference.png,pair_0064/search.png,dram,optical,1,852.808,375.084,11.58989,-3.9766,8101024367
