pair_id,err,credit
pair_0000,454.828,0.0
pair_0001,409.621,0.0
pair_0002,0.619,1.0
pair_0003,271.870,0.0
pair_0004,515.868,0.0
pair_0005,0.707,1.0
pair_0006,717.355,0.0
pair_0007,498.527,0.0
pair_0008,0.268,1.0
pair_0009,0.170,1.0
pair_0010,490.598,0.0
pair_0011,843.670,0.0
pair_0012,446.102,0.0
pair_0013,0.125,1.0
pair_0014,794.800,0.0
pair_0015,874.274,0.0
pair_0016,878.094,0.0
pair_0017,762.660,0.0
pair_0018,0.047,1.0
pair_0019,366.735,0.0
pair_0020,85.166,0.0
pair_0021,0.175,1.0
pair_0022,0.159,1.0
pair_0023,0.010,1.0
pair_0024,0.228,1.0
pair_0025,0.307,1.0
pair_0026,499.402,0.0
pair_0027,70.102,0.0
pair_0028,137.346,0.0
pair_0029,458.129,0.0
pair_0030,382.822,0.0
pair_0031,0.415,1.0
pair_0032,87.934,0.0
pair_0033,390.511,0.0
pair_0034,0.165,1.0
pair_0035,721.794,0.0
pair_0036,86.765,0.0
pair_0037,794.773,0.0
pair_0038,0.496,1.0
pair_0039,0.112,1.0
pair_0040,0.135,1.0
pair_0041,0.661,1.0
pair_0042,733.610,0.0
pair_0043,0.250,1.0
pair_0044,542.447,0.0
pair_0045,0.503,1.0
pair_0046,0.137,1.0
pair_0047,735.064,0.0
pair_0048,1.142,0.8
pair_0049,449.867,0.0
pair_0050,578.384,0.0
pair_0051,0.273,1.0
pair_0052,513.654,0.0
pair_0053,0.831,1.0
pair_0054,0.546,1.0
pair_0055,112.943,0.0
pair_0056,0.073,1.0
pair_0057,600.940,0.0
pair_0058,492.360,0.0
pair_0059,0.134,1.0
