pair_id,err,credit
pair_0000,618.296,0.0
pair_0001,0.056,1.0
pair_0002,401.007,0.0
pair_0003,0.241,1.0
pair_0004,496.556,0.0
pair_0005,0.087,1.0
pair_0006,0.193,1.0
pair_0007,100.803,0.0
pair_0008,2.794,0.6
pair_0009,0.804,1.0
pair_0010,349.866,0.0
pair_0011,0.090,1.0
pair_0012,0.453,1.0
pair_0013,1.164,0.8
pair_0014,0.635,1.0
pair_0015,0.975,1.0
pair_0016,419.655,0.0
pair_0017,0.113,1.0
pair_0018,711.915,0.0
pair_0019,0.513,1.0
pair_0020,0.059,1.0
pair_0021,105.966,0.0
pair_0022,0.119,1.0
pair_0023,1.226,0.8
