pair_id,err,credit
pair_0000,592.459,0.0
pair_0001,0.233,1.0
pair_0002,0.504,1.0
pair_0003,0.044,1.0
pair_0004,1.965,0.8
pair_0005,0.133,1.0
pair_0006,0.721,1.0
pair_0007,0.529,1.0
pair_0008,0.334,1.0
pair_0009,1.993,0.8
pair_0010,279.572,0.0
pair_0011,0.181,1.0
pair_0012,0.087,1.0
pair_0013,0.156,1.0
pair_0014,0.194,1.0
pair_0015,0.765,1.0
pair_0016,0.127,1.0
pair_0017,518.601,0.0
pair_0018,0.974,1.0
pair_0019,411.731,0.0
pair_0020,306.421,0.0
pair_0021,270.720,0.0
pair_0022,0.870,1.0
pair_0023,452.811,0.0
pair_0024,373.641,0.0
pair_0025,0.954,1.0
pair_0026,0.939,1.0
pair_0027,1.192,0.8
pair_0028,0.266,1.0
pair_0029,177.491,0.0
pair_0030,0.263,1.0
pair_0031,0.218,1.0
pair_0032,522.897,0.0
pair_0033,0.153,1.0
pair_0034,93.071,0.0
pair_0035,0.230,1.0
pair_0036,0.189,1.0
pair_0037,0.368,1.0
pair_0038,1.259,0.8
pair_0039,0.415,1.0
pair_0040,0.256,1.0
pair_0041,0.045,1.0
pair_0042,113.285,0.0
pair_0043,1.254,0.8
pair_0044,398.932,0.0
pair_0045,530.881,0.0
pair_0046,314.495,0.0
pair_0047,0.980,1.0
pair_0048,1.606,0.8
pair_0049,0.251,1.0
pair_0050,1.212,0.8
pair_0051,334.637,0.0
pair_0052,93.025,0.0
pair_0053,0.369,1.0
pair_0054,58.778,0.0
pair_0055,614.598,0.0
pair_0056,0.835,1.0
pair_0057,388.805,0.0
pair_0058,654.207,0.0
pair_0059,85.879,0.0
pair_0060,714.073,0.0
pair_0061,0.099,1.0
pair_0062,354.335,0.0
pair_0063,0.098,1.0
pair_0064,0.471,1.0
pair_0065,0.253,1.0
pair_0066,81.980,0.0
pair_0067,0.521,1.0
pair_0068,0.265,1.0
pair_0069,0.445,1.0
pair_0070,0.317,1.0
pair_0071,286.939,0.0
