pair_id,err,credit
pair_0000,434.197,0.0
pair_0001,0.775,1.0
pair_0002,273.919,0.0
pair_0003,0.653,1.0
pair_0004,423.331,0.0
pair_0005,0.444,1.0
pair_0006,515.436,0.0
pair_0007,0.338,1.0
pair_0008,375.251,0.0
pair_0009,138.120,0.0
pair_0010,498.200,0.0
pair_0011,0.529,1.0
pair_0012,393.121,0.0
pair_0013,0.174,1.0
pair_0014,265.212,0.0
pair_0015,2.408,0.6
pair_0016,384.051,0.0
pair_0017,93.479,0.0
pair_0018,0.183,1.0
pair_0019,1.139,0.8
pair_0020,0.536,1.0
pair_0021,0.314,1.0
pair_0022,1.038,0.8
pair_0023,354.440,0.0
pair_0024,518.937,0.0
pair_0025,0.086,1.0
pair_0026,961.402,0.0
pair_0027,566.709,0.0
pair_0028,0.572,1.0
pair_0029,0.141,1.0
pair_0030,1.737,0.8
pair_0031,32.668,0.0
pair_0032,607.190,0.0
pair_0033,0.243,1.0
pair_0034,450.958,0.0
pair_0035,527.503,0.0
