pair_id,set,truth_found,p_present,err_px,scale_rel,rot_abs_deg,quad_agree,seconds
pair_0000,B_degraded,1,0.458386,177.191,0.00341,3.0804,0,5.77
pair_0001,A_nominal,1,0.983336,0.214,0.00855,0.1738,4,3.78
pair_0002,B_degraded,1,0.929662,0.128,0.00172,0.1272,4,4.19
pair_0003,A_nominal,1,0.971764,0.026,0.00887,0.1124,4,3.68
pair_0006,A_nominal,1,0.996087,0.259,0.00989,0.2216,4,3.94
pair_0007,A_nominal,1,0.976187,0.169,0.01143,0.0851,4,4.04
pair_0008,A_nominal,1,0.791099,64.368,0.00094,0.1614,4,3.77
pair_0009,C_absent,0,0.084054,888.231,0.12002,5.7569,1,6.33
pair_0010,A_nominal,1,0.205182,588.271,0.26009,4.4520,1,5.65
pair_0011,B_degraded,1,0.995162,0.531,0.00219,0.3856,4,4.00
pair_0012,B_degraded,1,0.499407,1.509,0.00311,0.8520,4,5.95
pair_0013,B_degraded,1,0.374490,336.336,0.05155,9.3226,1,5.73
pair_0014,A_nominal,1,0.428381,414.238,0.26927,2.2876,3,5.58
pair_0015,C_absent,0,0.277418,972.238,0.05472,0.0466,2,5.80
pair_0016,C_absent,0,0.107987,851.146,0.45150,0.1378,2,3.75
pair_0017,C_absent,0,0.379095,416.194,0.36424,3.8221,3,5.81
pair_0018,A_nominal,1,0.995201,0.114,0.00134,0.1028,4,3.92
pair_0019,A_nominal,1,0.237376,324.184,0.24990,1.0018,2,5.31
pair_0020,C_absent,0,0.283181,1227.289,0.10708,1.0374,3,4.67
pair_0021,C_absent,0,0.212205,687.696,0.51071,1.8849,1,4.74
pair_0022,A_nominal,1,0.991615,0.194,0.00044,0.2353,4,3.30
pair_0023,A_nominal,1,0.986171,0.107,0.00423,0.1612,4,2.97
pair_0024,A_nominal,1,0.990676,0.519,0.00880,0.2371,4,3.22
pair_0025,A_nominal,1,0.988866,0.532,0.00235,0.0605,4,3.16
pair_0026,B_degraded,1,0.975629,2.269,0.04709,0.0115,3,3.09
pair_0027,A_nominal,1,0.994852,0.082,0.00103,0.1283,4,3.07
pair_0028,C_absent,0,0.579990,904.645,0.06688,0.1816,2,3.53
pair_0029,A_nominal,1,0.178104,0.265,0.01156,0.4502,4,3.07
pair_0031,B_degraded,1,0.134415,454.737,0.06413,1.0440,2,3.06
pair_0032,C_absent,0,0.318120,923.638,0.22746,0.3327,3,4.91
pair_0034,C_absent,0,0.561253,1048.099,0.03351,1.1905,1,2.99
pair_0035,B_degraded,1,0.123842,642.120,0.06259,0.1510,0,4.68
pair_0036,C_absent,0,0.036302,666.206,0.00624,0.2655,1,4.68
pair_0037,B_degraded,1,0.194107,753.588,0.02353,4.0443,1,5.97
pair_0038,A_nominal,1,0.995131,0.047,0.00086,0.0895,4,3.27
pair_0039,B_degraded,1,0.612065,116.492,0.00618,0.4829,4,5.62
pair_0040,B_degraded,1,0.881682,0.127,0.01870,0.0601,4,3.39
pair_0041,A_nominal,1,0.995913,0.085,0.00558,0.0515,4,3.12
pair_0043,B_degraded,1,0.494077,845.728,0.11965,1.0409,0,4.51
pair_0044,A_nominal,1,0.988576,0.271,0.00675,0.1123,4,3.40
pair_0045,B_degraded,1,0.982743,0.148,0.00094,0.1364,4,2.94
pair_0047,A_nominal,1,0.947803,0.336,0.01235,0.2395,4,3.00
pair_0048,A_nominal,1,0.991730,0.366,0.00014,0.0597,4,3.50
pair_0050,B_degraded,1,0.560128,546.968,0.02820,0.4000,4,4.54
pair_0051,C_absent,0,0.694299,1204.985,0.06883,0.0463,3,3.09
pair_0052,B_degraded,1,0.986696,0.102,0.00112,0.1420,4,3.36
pair_0053,C_absent,0,0.441291,102.509,0.30052,0.9355,1,4.58
pair_0054,B_degraded,1,0.991631,0.232,0.00200,0.0556,4,2.96
pair_0055,C_absent,0,0.128671,826.398,0.03575,5.2689,1,5.12
pair_0056,A_nominal,1,0.988782,0.214,0.00127,0.0404,4,3.21
pair_0057,C_absent,0,0.356062,583.892,0.10914,4.2051,2,5.47
pair_0058,A_nominal,1,0.987447,0.023,0.00032,0.1408,4,3.63
pair_0059,A_nominal,1,0.276285,742.395,0.21037,1.7832,1,4.78
pair_0060,A_nominal,1,0.994714,0.117,0.00470,0.0469,4,3.39
pair_0061,A_nominal,1,0.997922,0.216,0.00363,0.0007,4,3.07
pair_0062,B_degraded,1,0.985746,0.104,0.00531,0.2509,4,3.03
pair_0063,B_degraded,1,0.408941,1012.907,0.03773,0.7314,2,4.95
pair_0064,B_degraded,1,0.281773,33.931,0.00159,0.0504,3,2.96
pair_0065,C_absent,0,0.118965,480.265,0.19977,0.3265,2,3.08
pair_0067,C_absent,0,0.027124,787.505,0.21836,0.3984,1,5.05
pair_0071,A_nominal,1,0.916535,0.384,0.02156,0.2205,4,3.01
pair_0072,A_nominal,1,0.997386,0.158,0.00773,0.2622,4,3.05
pair_0073,B_degraded,1,0.991434,0.935,0.01300,0.2830,4,3.42
pair_0074,B_degraded,1,0.993273,0.601,0.00166,0.2727,4,3.10
pair_0075,B_degraded,1,0.327056,460.528,0.02762,7.1429,1,4.59
pair_0076,C_absent,0,0.156512,723.507,0.06502,0.3321,3,5.17
pair_0077,A_nominal,1,0.149653,210.293,0.01418,4.4026,1,4.58
pair_0078,B_degraded,1,0.985646,0.242,0.04148,0.2759,4,3.32
pair_0079,B_degraded,1,0.978949,0.057,0.00514,0.0105,4,3.02
pair_0081,C_absent,0,0.193976,1099.085,0.08522,4.2815,1,6.24
pair_0082,C_absent,0,0.885248,941.292,0.01750,1.8608,1,3.24
pair_0083,A_nominal,1,0.979137,0.218,0.01310,0.0555,4,3.00
pair_0084,A_nominal,1,0.982160,0.182,0.00315,0.0985,4,3.01
pair_0085,B_degraded,1,0.985520,0.383,0.01272,0.0270,4,3.52
pair_0086,B_degraded,1,0.990730,0.175,0.00388,0.3056,4,3.11
pair_0087,B_degraded,1,0.991446,0.615,0.00092,0.1237,4,2.88
pair_0088,B_degraded,1,0.990638,0.159,0.00688,0.0106,4,3.48
pair_0089,A_nominal,1,0.457130,69.762,0.00085,0.1646,1,4.69
pair_0090,B_degraded,1,0.971566,0.790,0.01275,0.0816,4,3.01
pair_0091,B_degraded,1,0.982073,0.194,0.00087,0.4117,4,3.31
pair_0092,B_degraded,1,0.990928,0.717,0.00084,0.3883,4,3.27
pair_0093,A_nominal,1,0.992137,0.195,0.00220,0.0262,4,3.03
pair_0094,B_degraded,1,0.988311,0.694,0.00696,0.5587,4,3.31
pair_0095,A_nominal,1,0.986397,0.149,0.00282,0.0136,4,3.34
pair_0096,A_nominal,1,0.994762,0.283,0.00404,0.0288,4,3.00
pair_0097,A_nominal,1,0.995669,0.350,0.00721,0.1401,4,3.36
pair_0098,A_nominal,1,0.996091,0.089,0.00316,0.1002,4,4.02
pair_0099,A_nominal,1,0.997481,0.014,0.00021,0.0391,4,3.00
pair_0100,B_degraded,1,0.994877,0.167,0.00259,0.1261,4,3.16
pair_0101,B_degraded,1,0.936749,0.546,0.00530,0.1461,4,3.30
pair_0102,B_degraded,1,0.619397,0.510,0.01177,0.3426,4,5.63
pair_0103,B_degraded,1,0.990606,0.547,0.00886,0.2095,4,3.25
pair_0104,B_degraded,1,0.913736,0.519,0.04226,0.0765,3,3.02
pair_0105,A_nominal,1,0.922068,0.143,0.00240,0.0388,4,2.80
pair_0106,A_nominal,1,0.988364,0.225,0.01169,0.1186,4,2.97
pair_0107,C_absent,0,0.223540,786.991,0.38460,0.9543,0,4.80
pair_0108,C_absent,0,0.383833,946.874,0.24383,3.6182,1,5.89
pair_0109,B_degraded,1,0.990931,0.043,0.00189,0.2332,4,3.42
pair_0110,A_nominal,1,0.997825,0.175,0.00032,0.0436,4,3.14
