threshold,loc,pose,f1,rej,auc,cal,core,tp,fp,fn,credit_A,credit_B
0.05,30.19047619047619,17.615384615384613,0.15384615384615385,2.307692307692308,0.9861667273389152,9.861667273389152,59.97522038694226,2,0,22,0.8333333333333334,0.6904761904761905
0.075,30.19047619047619,17.615384615384613,0.15384615384615385,2.307692307692308,0.9861667273389152,9.861667273389152,59.97522038694226,2,0,22,0.8333333333333334,0.6904761904761905
0.1,30.19047619047619,17.615384615384613,0.2857142857142857,4.285714285714286,0.9881085098476403,9.881085098476403,61.97266019005149,4,0,20,0.8333333333333334,0.6904761904761905
0.125,30.19047619047619,17.615384615384613,0.4375,6.5625,0.9868827160493827,9.868827160493828,64.23718796635463,7,1,17,0.8333333333333334,0.6904761904761905
0.15,30.19047619047619,17.615384615384613,0.45714285714285713,6.857142857142857,0.9823874755381604,9.823874755381604,64.48687841838526,8,3,16,0.8333333333333334,0.6904761904761905
0.175,30.19047619047619,17.615384615384613,0.5,7.5,0.9825119236883942,9.825119236883943,65.13098004274474,9,3,15,0.8333333333333334,0.6904761904761905
0.2,29.761904761904763,17.703125,0.5128205128205128,7.692307692307692,0.9789348171701113,9.789348171701114,64.94668562591357,10,5,14,0.8095238095238095,0.6904761904761905
0.225,29.761904761904763,17.703125,0.5714285714285714,8.571428571428571,0.9708059210526315,9.708059210526315,65.74451754385964,12,6,12,0.8095238095238095,0.6904761904761905
0.25,29.761904761904763,17.703125,0.5581395348837209,8.372093023255815,0.9695723684210527,9.695723684210527,65.5328464693711,12,7,12,0.8095238095238095,0.6904761904761905
0.275,29.761904761904763,17.703125,0.5581395348837209,8.372093023255815,0.9695723684210527,9.695723684210527,65.5328464693711,12,7,12,0.8095238095238095,0.6904761904761905
0.3,29.761904761904763,17.703125,0.5957446808510638,8.936170212765957,0.9598290598290599,9.598290598290598,65.99949057296132,14,9,10,0.8095238095238095,0.6904761904761905
0.325,29.23809523809524,17.730158730158728,0.6122448979591837,9.183673469387756,0.958974358974359,9.58974358974359,65.74167102738531,15,10,9,0.8095238095238095,0.6666666666666666
0.35,29.23809523809524,17.730158730158728,0.6,9.0,0.9581196581196582,9.581196581196581,65.54945054945055,15,11,9,0.8095238095238095,0.6666666666666666
0.375,29.23809523809524,17.730158730158728,0.6153846153846154,9.230769230769232,0.951113051069402,9.51113051069402,65.71015370971722,16,12,8,0.8095238095238095,0.6666666666666666
0.4,29.23809523809524,17.730158730158728,0.6545454545454545,9.818181818181818,0.9368998628257887,9.368998628257888,66.15543441469367,18,13,6,0.8095238095238095,0.6666666666666666
0.425,29.23809523809524,17.730158730158728,0.6428571428571429,9.642857142857144,0.9364426154549611,9.36442615454961,65.97553726566072,18,14,6,0.8095238095238095,0.6666666666666666
0.45,29.23809523809524,17.730158730158728,0.6551724137931034,9.827586206896552,0.9254221388367729,9.254221388367728,66.05006156351824,19,15,5,0.8095238095238095,0.6666666666666666
0.475,29.23809523809524,17.730158730158728,0.6333333333333333,9.5,0.9244840525328331,9.24484052532833,65.7130944935823,19,17,5,0.8095238095238095,0.6666666666666666
0.4799999999999999,29.23809523809524,17.730158730158728,0.6333333333333333,9.5,0.9244840525328331,9.24484052532833,65.7130944935823,19,17,5,0.8095238095238095,0.6666666666666666
0.5,28.81904761904762,17.806451612903224,0.6349206349206349,9.523809523809524,0.9244840525328331,9.24484052532833,65.3941492810887,20,19,4,0.8095238095238095,0.6476190476190476
0.525,28.81904761904762,17.806451612903224,0.6349206349206349,9.523809523809524,0.9244840525328331,9.24484052532833,65.3941492810887,20,19,4,0.8095238095238095,0.6476190476190476
0.55,28.81904761904762,17.806451612903224,0.6349206349206349,9.523809523809524,0.9244840525328331,9.24484052532833,65.3941492810887,20,19,4,0.8095238095238095,0.6476190476190476
0.575,28.81904761904762,17.806451612903224,0.6461538461538462,9.692307692307693,0.9137349397590362,9.137349397590363,65.4551563218489,21,20,3,0.8095238095238095,0.6476190476190476
0.6,28.81904761904762,17.806451612903224,0.6666666666666666,10.0,0.9027777777777778,9.027777777777779,65.65327700972861,22,20,2,0.8095238095238095,0.6476190476190476
0.625,28.295238095238098,17.901639344262293,0.6470588235294118,9.705882352941178,0.9093975903614457,9.093975903614457,64.99673569605602,22,22,2,0.8095238095238095,0.6238095238095238
0.65,28.295238095238098,17.901639344262293,0.6470588235294118,9.705882352941178,0.9093975903614457,9.093975903614457,64.99673569605602,22,22,2,0.8095238095238095,0.6238095238095238
0.675,28.295238095238098,17.901639344262293,0.6470588235294118,9.705882352941178,0.9093975903614457,9.093975903614457,64.99673569605602,22,22,2,0.8095238095238095,0.6238095238095238
0.7,28.295238095238098,17.901639344262293,0.6666666666666666,10.0,0.9032738095238095,9.032738095238095,65.22961553473849,23,22,1,0.8095238095238095,0.6238095238095238
0.725,28.295238095238098,17.901639344262293,0.6666666666666666,10.0,0.9032738095238095,9.032738095238095,65.22961553473849,23,22,1,0.8095238095238095,0.6238095238095238
0.75,28.295238095238098,17.901639344262293,0.6666666666666666,10.0,0.9032738095238095,9.032738095238095,65.22961553473849,23,22,1,0.8095238095238095,0.6238095238095238
0.775,28.295238095238098,17.901639344262293,0.6666666666666666,10.0,0.9032738095238095,9.032738095238095,65.22961553473849,23,22,1,0.8095238095238095,0.6238095238095238
0.8,28.295238095238098,17.901639344262293,0.6571428571428571,9.857142857142858,0.9032738095238095,9.032738095238095,65.08675839188135,23,23,1,0.8095238095238095,0.6238095238095238
0.825,28.295238095238098,17.901639344262293,0.6571428571428571,9.857142857142858,0.9032738095238095,9.032738095238095,65.08675839188135,23,23,1,0.8095238095238095,0.6238095238095238
0.85,28.295238095238098,17.901639344262293,0.6571428571428571,9.857142857142858,0.9032738095238095,9.032738095238095,65.08675839188135,23,23,1,0.8095238095238095,0.6238095238095238
0.875,28.295238095238098,17.901639344262293,0.6571428571428571,9.857142857142858,0.9032738095238095,9.032738095238095,65.08675839188135,23,23,1,0.8095238095238095,0.6238095238095238
0.9,27.771428571428576,17.933333333333337,0.6666666666666666,10.0,0.8933531746031746,8.933531746031747,64.63829365079366,24,24,0,0.8095238095238095,0.6
0.925,26.390476190476193,18.07017543859649,0.64,9.6,0.8715134887974394,8.715134887974394,62.77578651704708,24,27,0,0.7619047619047619,0.5761904761904761
0.95,24.914285714285718,18.037037037037038,0.6153846153846154,9.230769230769232,0.8478632478632478,8.478632478632479,60.66072446072447,24,30,0,0.7380952380952381,0.5285714285714286
