pair_id,set,style,arch,lattice_balance,truth_found,p_present,err_px
pair_0000,B_degraded,finfet,finfet,0.21081,1,0.993677,0.177
pair_0001,A_nominal,finfet,finfet,0.27776,1,0.980997,0.175
pair_0002,C_absent,finfet,finfet,0.17114,0,0.665403,nan
pair_0003,C_absent,finfet,finfet,0.14843,0,0.511758,nan
pair_0004,C_absent,finfet,finfet,0.17532,0,0.115322,nan
pair_0005,B_degraded,dram,dram,0.41337,1,0.994762,0.459
pair_0006,A_nominal,dram,dram,0.57992,1,0.993375,0.143
pair_0007,A_nominal,dram,dram,0.81696,1,0.993472,0.168
pair_0008,A_nominal,dram,dram,0.45718,1,0.994808,0.255
pair_0009,B_degraded,dram,dram,0.75772,1,0.983247,0.218
pair_0010,A_nominal,dram,dram,0.63130,1,0.983695,0.171
pair_0011,A_nominal,finfet,finfet,0.29727,1,0.720232,17.823
pair_0012,B_degraded,dram,dram,0.53539,1,0.991258,0.062
pair_0014,C_absent,dram,dram,0.42759,0,0.396740,nan
pair_0015,A_nominal,dram,dram,0.47950,1,0.996676,0.097
pair_0016,B_degraded,finfet,finfet,0.19420,1,0.986107,0.180
pair_0017,C_absent,finfet,dram,0.35750,0,0.276781,nan
pair_0018,A_nominal,finfet,finfet,0.30456,1,0.978536,0.054
pair_0019,C_absent,dram,dram,0.47078,0,0.313641,nan
pair_0020,B_degraded,dram,dram,0.94630,1,0.408857,0.061
pair_0021,A_nominal,dram,dram,0.47553,1,0.985265,0.071
pair_0022,B_degraded,dram,dram,0.55416,1,0.994254,0.513
pair_0023,C_absent,finfet,finfet,0.27633,0,0.497182,nan
pair_0024,A_nominal,dram,dram,0.79371,1,0.983439,0.187
pair_0025,A_nominal,dram,dram,0.97880,1,0.986789,0.090
pair_0026,A_nominal,finfet,finfet,0.19928,1,0.992062,0.041
pair_0027,A_nominal,finfet,dram,0.35283,1,0.169461,269.775
pair_0028,A_nominal,finfet,finfet,0.27481,1,0.882351,54.390
pair_0029,B_degraded,dram,finfet,0.21623,1,0.168636,0.593
pair_0030,A_nominal,finfet,finfet,0.32866,1,0.105128,588.551
pair_0031,C_absent,finfet,finfet,0.17234,0,0.149345,nan
pair_0032,B_degraded,finfet,finfet,0.14730,1,0.992570,0.092
pair_0033,B_degraded,finfet,finfet,0.18198,1,0.574390,801.596
pair_0034,A_nominal,finfet,finfet,0.26193,1,0.970900,0.306
pair_0035,B_degraded,dram,dram,0.58451,1,0.995801,0.049
pair_0036,A_nominal,dram,dram,0.42633,1,0.072322,644.215
pair_0037,A_nominal,finfet,finfet,0.31876,1,0.240273,151.539
pair_0038,A_nominal,finfet,finfet,0.20714,1,0.988832,0.037
pair_0039,A_nominal,dram,dram,0.58239,1,0.988928,0.264
pair_0041,A_nominal,dram,dram,0.44374,1,0.019258,618.628
pair_0042,A_nominal,finfet,finfet,0.25364,1,0.986289,0.084
pair_0043,C_absent,finfet,finfet,0.25703,0,0.462982,nan
pair_0044,B_degraded,finfet,finfet,0.20575,1,0.639965,372.466
pair_0045,C_absent,finfet,finfet,0.24991,0,0.119441,nan
pair_0046,B_degraded,finfet,finfet,0.25671,1,0.325150,259.255
pair_0047,B_degraded,finfet,finfet,0.20345,1,0.258806,497.519
pair_0048,A_nominal,dram,dram,0.92766,1,0.987554,0.214
pair_0050,A_nominal,dram,dram,0.47162,1,0.997205,0.200
pair_0051,B_degraded,finfet,finfet,0.20239,1,0.219431,730.688
pair_0052,A_nominal,finfet,finfet,0.27354,1,0.520006,27.695
pair_0053,A_nominal,finfet,finfet,0.20926,1,0.985377,0.025
pair_0054,B_degraded,dram,dram,0.48092,1,0.988234,3.809
pair_0055,C_absent,finfet,finfet,0.30775,0,0.275982,nan
pair_0057,A_nominal,dram,dram,0.41696,1,0.995484,0.120
pair_0058,A_nominal,finfet,finfet,0.24742,1,0.173105,678.673
pair_0059,A_nominal,dram,dram,0.47539,1,0.145976,0.439
pair_0061,A_nominal,finfet,finfet,0.19237,1,0.975422,0.035
pair_0063,B_degraded,dram,dram,0.51878,1,0.211361,559.276
pair_0064,A_nominal,dram,dram,0.42017,1,0.994207,0.087
pair_0065,B_degraded,finfet,finfet,0.23826,1,0.402934,279.410
pair_0067,C_absent,finfet,finfet,0.22703,0,0.470279,nan
pair_0069,B_degraded,finfet,finfet,0.34658,1,0.470934,43.042
pair_0070,C_absent,dram,dram,0.40488,0,0.196787,nan
pair_0071,A_nominal,dram,dram,0.61537,1,0.996711,0.109
pair_0072,C_absent,dram,dram,0.45335,0,0.402883,nan
pair_0073,C_absent,finfet,finfet,0.29755,0,0.287008,nan
pair_0074,B_degraded,dram,dram,0.55199,1,0.610820,756.904
pair_0076,B_degraded,dram,dram,0.64460,1,0.991143,0.059
pair_0077,B_degraded,finfet,finfet,0.23721,1,0.750113,136.016
