pair_id,set,style,arch,lattice_balance,truth_found,p_present,err_px
pair_0000,A_nominal,dram,dram,0.39563,1,0.989313,0.093
pair_0001,C_absent,dram,dram,0.61958,0,0.414494,nan
pair_0002,B_degraded,dram,dram,0.55542,1,0.991094,0.262
pair_0004,A_nominal,dram,dram,0.99258,1,0.991826,0.451
pair_0005,C_absent,dram,dram,0.45818,0,0.307615,nan
pair_0006,B_degraded,dram,finfet,0.33965,1,0.955127,0.459
pair_0007,C_absent,dram,finfet,0.34315,0,0.032373,nan
pair_0008,A_nominal,dram,dram,0.48339,1,0.991321,0.142
pair_0009,A_nominal,finfet,dram,0.37737,1,0.788874,10.130
pair_0010,A_nominal,dram,dram,0.92703,1,0.982839,0.046
pair_0012,C_absent,finfet,finfet,0.25015,0,0.342164,nan
pair_0013,B_degraded,dram,finfet,0.17264,1,0.083154,0.122
pair_0014,B_degraded,finfet,finfet,0.22149,1,0.974914,0.263
pair_0015,B_degraded,dram,dram,0.57678,1,0.213136,484.495
pair_0016,B_degraded,dram,dram,0.44742,1,0.184586,650.096
pair_0017,A_nominal,dram,dram,0.64708,1,0.019879,568.467
pair_0018,A_nominal,finfet,finfet,0.16541,1,0.996190,0.154
pair_0019,B_degraded,dram,dram,0.51317,1,0.326337,533.679
pair_0020,B_degraded,dram,dram,0.39815,1,0.205837,377.448
pair_0021,C_absent,finfet,finfet,0.23443,0,0.120596,nan
pair_0023,C_absent,finfet,finfet,0.24110,0,0.089157,nan
pair_0024,B_degraded,dram,dram,0.62230,1,0.527285,538.269
pair_0025,C_absent,finfet,finfet,0.20219,0,0.112360,nan
pair_0026,C_absent,finfet,finfet,0.30096,0,0.559891,nan
pair_0027,B_degraded,dram,dram,0.53340,1,0.989957,0.465
pair_0028,B_degraded,dram,dram,0.58509,1,0.988534,0.708
pair_0029,B_degraded,finfet,finfet,0.17795,1,0.329533,652.623
pair_0030,C_absent,dram,dram,0.51729,0,0.257440,nan
pair_0031,C_absent,dram,finfet,0.34079,0,0.067189,nan
pair_0032,C_absent,dram,dram,0.41979,0,0.882960,nan
pair_0034,B_degraded,dram,dram,0.50561,1,0.992274,0.177
pair_0035,B_degraded,finfet,finfet,0.22949,1,0.987098,0.511
pair_0036,A_nominal,dram,dram,0.58171,1,0.985243,0.187
pair_0037,C_absent,finfet,finfet,0.15163,0,0.133461,nan
pair_0038,B_degraded,dram,dram,0.75528,1,0.994462,0.944
pair_0039,A_nominal,finfet,finfet,0.16685,1,0.989188,0.020
pair_0040,A_nominal,dram,dram,0.46147,1,0.996975,0.197
pair_0041,B_degraded,dram,dram,0.56880,1,0.990087,0.223
pair_0042,A_nominal,finfet,finfet,0.27073,1,0.989968,0.056
pair_0043,B_degraded,finfet,finfet,0.19127,1,0.488387,303.128
pair_0044,C_absent,dram,dram,0.49110,0,0.218270,nan
pair_0045,B_degraded,dram,finfet,0.27779,1,0.985568,0.152
pair_0046,A_nominal,dram,dram,0.75482,1,0.985393,0.249
pair_0047,A_nominal,dram,dram,0.54075,1,0.991044,0.127
pair_0049,A_nominal,dram,dram,0.48894,1,0.999803,0.032
pair_0050,B_degraded,dram,dram,0.46692,1,0.975923,0.160
pair_0051,A_nominal,dram,finfet,0.32417,1,0.993919,0.159
pair_0053,A_nominal,dram,dram,0.72953,1,0.997417,0.044
pair_0054,C_absent,dram,dram,0.94457,0,0.877255,nan
pair_0055,B_degraded,dram,dram,0.49905,1,0.259007,306.510
pair_0056,B_degraded,dram,dram,0.35804,1,0.517289,0.265
pair_0057,C_absent,dram,dram,0.46911,0,0.263223,nan
pair_0058,B_degraded,finfet,finfet,0.21741,1,0.355042,749.120
pair_0060,A_nominal,dram,dram,0.53776,1,0.989244,0.020
pair_0061,B_degraded,finfet,finfet,0.20893,1,0.734786,0.804
pair_0062,C_absent,finfet,finfet,0.26276,0,0.322357,nan
pair_0063,A_nominal,dram,dram,0.58467,1,0.986299,0.031
pair_0064,A_nominal,dram,dram,0.36603,1,0.034631,656.019
pair_0065,A_nominal,dram,finfet,0.31649,1,0.991902,0.219
pair_0066,B_degraded,dram,dram,0.45738,1,0.987967,0.297
pair_0068,A_nominal,dram,finfet,0.31969,1,0.063938,392.356
pair_0070,B_degraded,dram,dram,0.74437,1,0.000000,471.265
pair_0071,A_nominal,dram,dram,0.41027,1,0.990324,0.077
pair_0072,A_nominal,dram,finfet,0.34403,1,0.993790,0.053
pair_0073,A_nominal,finfet,finfet,0.25091,1,0.975814,0.019
pair_0074,B_degraded,dram,dram,0.38675,1,0.409014,698.119
pair_0075,A_nominal,dram,finfet,0.34969,1,0.995456,0.077
pair_0076,B_degraded,dram,dram,0.47928,1,0.991850,0.137
pair_0077,A_nominal,dram,dram,0.60205,1,0.997254,0.173
pair_0078,B_degraded,dram,dram,0.53935,1,0.416358,1.037
pair_0079,A_nominal,dram,dram,0.53517,1,0.995367,0.334
pair_0080,B_degraded,finfet,finfet,0.25724,1,0.340221,406.895
pair_0081,A_nominal,dram,dram,0.42076,1,0.987381,0.162
pair_0082,A_nominal,finfet,finfet,0.14901,1,0.984874,0.152
pair_0083,C_absent,dram,dram,0.93330,0,0.588766,nan
pair_0084,C_absent,dram,dram,0.51271,0,0.938727,nan
pair_0085,B_degraded,finfet,finfet,0.25345,1,0.268846,422.747
pair_0087,A_nominal,finfet,finfet,0.22365,1,0.992929,0.034
pair_0088,A_nominal,finfet,finfet,0.19683,1,0.996410,0.078
pair_0089,C_absent,finfet,finfet,0.30282,0,0.339175,nan
pair_0090,C_absent,finfet,finfet,0.17878,0,0.139441,nan
pair_0091,A_nominal,dram,dram,0.43286,1,0.995822,0.070
pair_0093,B_degraded,finfet,dram,0.40170,1,0.561949,89.578
pair_0094,C_absent,dram,finfet,0.30547,0,0.016624,nan
pair_0095,B_degraded,finfet,dram,0.36162,1,0.207077,569.340
pair_0096,B_degraded,finfet,finfet,0.27705,1,0.980763,0.127
pair_0097,A_nominal,finfet,dram,0.37911,1,0.466506,0.153
pair_0099,C_absent,dram,dram,0.38990,0,0.151354,nan
pair_0100,C_absent,dram,dram,0.58628,0,0.029426,nan
pair_0101,B_degraded,finfet,finfet,0.27463,1,0.655241,101.540
pair_0102,A_nominal,dram,dram,0.92406,1,0.989037,0.143
pair_0103,B_degraded,finfet,finfet,0.18478,1,0.427721,489.545
pair_0104,B_degraded,finfet,finfet,0.24185,1,0.169500,40.986
pair_0105,A_nominal,dram,dram,0.71125,1,0.364831,0.230
pair_0106,C_absent,dram,dram,0.70306,0,0.058794,nan
pair_0107,A_nominal,dram,dram,0.38742,1,0.982310,0.113
pair_0108,A_nominal,dram,dram,0.39760,1,0.994890,0.524
pair_0109,A_nominal,dram,dram,0.43595,1,0.997168,0.240
pair_0110,A_nominal,finfet,finfet,0.15241,1,0.983316,0.098
pair_0111,B_degraded,dram,dram,0.42037,1,0.993676,0.855
pair_0112,B_degraded,finfet,finfet,0.22112,1,0.690927,0.512
pair_0113,A_nominal,dram,dram,0.81470,1,0.989465,0.297
pair_0115,B_degraded,finfet,finfet,0.28067,1,0.454116,31.347
pair_0116,B_degraded,dram,dram,0.35026,1,0.996790,0.324
pair_0117,B_degraded,dram,dram,0.45282,1,0.137988,646.910
pair_0120,A_nominal,dram,dram,0.57291,1,0.961809,0.125
pair_0122,B_degraded,finfet,finfet,0.21616,1,0.802893,350.802
pair_0124,B_degraded,dram,dram,0.43169,1,0.519415,407.750
pair_0125,B_degraded,dram,dram,0.53290,1,0.986103,0.031
pair_0126,B_degraded,finfet,finfet,0.23926,1,0.744059,877.375
pair_0127,B_degraded,finfet,dram,0.37567,1,0.493168,77.753
pair_0128,A_nominal,dram,dram,0.57849,1,0.993832,0.323
pair_0129,B_degraded,finfet,finfet,0.21139,1,0.630916,0.906
pair_0130,C_absent,dram,dram,0.48062,0,0.100494,nan
pair_0131,B_degraded,finfet,finfet,0.23382,1,0.438660,0.997
pair_0132,B_degraded,finfet,finfet,0.23417,1,0.278168,471.161
pair_0133,A_nominal,dram,dram,0.45466,1,0.069602,241.135
pair_0134,A_nominal,dram,dram,0.63410,1,0.992664,0.046
pair_0135,B_degraded,dram,dram,0.75902,1,0.271553,0.135
pair_0136,A_nominal,dram,dram,0.54272,1,0.994136,0.046
pair_0138,A_nominal,finfet,finfet,0.24866,1,0.979137,0.195
pair_0139,B_degraded,dram,dram,0.59021,1,0.981260,0.819
pair_0140,C_absent,dram,dram,0.46897,0,0.155919,nan
pair_0141,A_nominal,dram,dram,0.58239,1,0.995743,0.041
pair_0142,C_absent,dram,dram,0.45076,0,0.042326,nan
