pair_id,x,y,theta,scale,found,score
v000,615.840,847.725,-5.078,7.9813,1,0.99977
v001,182.660,667.359,4.970,12.0562,1,0.99989
v002,909.686,258.409,-1.319,9.3969,1,0.99954
v003,296.343,909.850,2.724,9.0000,1,0.99224
v004,548.060,554.362,1.647,9.7219,1,0.92420
v005,893.680,335.035,-0.327,9.4937,1,0.99900
v006,307.480,610.549,-1.067,8.6875,1,0.99248
v007,0,0,0,0,0,0.98394
v008,908.591,910.095,3.306,9.0469,1,0.99871
v009,909.251,444.332,2.219,11.8343,1,0.99957
v010,820.547,249.503,0.855,10.3250,1,0.99990
v011,601.216,303.736,-2.019,9.2875,1,0.99687
v012,560.429,552.024,1.797,9.6844,1,0.98467
v013,200.211,909.982,-4.845,9.8438,1,0.99824
v014,908.461,909.860,-4.501,9.2250,1,0.99321
v015,326.597,621.242,4.500,8.6500,1,0.98913
v016,459.737,101.126,1.557,11.3718,1,0.99645
v017,287.247,326.873,-1.703,8.5844,1,0.99506
v018,658.282,592.593,-1.597,8.8594,1,0.99925
v019,843.886,682.900,-3.375,8.0750,1,0.99814
v020,908.868,626.578,1.703,8.8594,1,0.99908
v021,496.265,909.987,-2.682,9.9375,1,0.72557
v022,309.493,652.746,4.126,8.4750,1,0.99769
v023,225.407,260.723,0.337,10.8250,1,0.99068
v024,899.446,808.577,-0.735,10.5844,1,0.99981
v025,580.054,564.872,-0.839,9.2969,1,0.99946
v026,216.160,890.343,-2.258,11.1375,1,0.99591
v027,710.579,200.354,3.670,11.2406,1,0.99661
v028,269.852,578.484,3.934,9.1687,1,0.87226
v029,465.845,250.077,-1.467,11.7594,1,0.99937
v030,759.095,854.332,3.078,9.4750,1,0.98281
v031,530.173,772.123,-1.182,10.5407,1,0.87467
v032,908.416,640.633,-2.571,9.0375,1,0.85631
v033,701.018,652.030,1.586,8.2875,1,0.99900
v034,779.959,230.330,-2.922,10.7625,1,0.87269
v035,907.633,909.898,-2.126,9.1750,1,0.99997
v036,891.853,211.896,4.126,9.8500,1,0.74489
v037,247.831,769.021,-0.882,11.1938,1,0.99983
v038,492.464,221.541,-1.150,11.8344,1,0.99839
v039,554.731,545.768,3.190,9.9094,1,0.99810
v040,273.840,663.835,-0.144,10.6750,1,0.98506
v041,896.600,561.671,0.369,11.9000,1,0.47790
v042,0,0,0,0,0,0.99596
v043,0,0,0,0,0,0.98844
v044,305.901,263.382,0.979,9.8406,1,0.43283
v045,0,0,0,0,0,0.99038
v046,0,0,0,0,0,0.97605
v047,0,0,0,0,0,0.87172
v048,0,0,0,0,0,0.69558
v049,0,0,0,0,0,0.98043
v050,342.964,274.132,-4.449,12.1500,1,0.49996
v051,0,0,0,0,0,0.94143
v052,931.602,399.543,4.830,12.0750,1,0.48501
v053,468.650,903.625,0.726,10.2063,1,0.74999
v054,532.598,585.728,-3.323,9.7969,1,0.25496
v055,754.122,579.030,4.018,8.7781,1,0.21621
v056,733.241,782.866,0.697,11.4532,1,0.32612
v057,249.750,90.201,-4.104,10.7875,1,0.46121
v058,909.904,145.447,4.459,11.5187,1,0.13974
v059,187.425,507.408,3.266,11.0375,1,0.59535
