pair_id,x,y,theta,scale,found,score
v000,308.363,622.595,-5.123,8.0094,1,0.99993
v001,681.218,392.568,5.073,11.9000,1,0.99984
v002,191.985,459.930,2.535,11.4938,1,0.99778
v003,909.602,296.662,-4.020,9.5250,1,0.98639
v004,239.764,89.918,-4.060,10.5844,1,0.99532
v005,908.789,627.380,0.296,9.4187,1,0.99601
v006,590.557,115.545,-4.059,9.7875,1,0.99955
v007,286.798,717.970,4.752,9.7031,1,0.99719
v008,689.290,654.166,0.632,8.2781,1,0.99975
v009,252.137,132.595,-3.875,9.9719,1,0.99894
v010,0,0,0,0,0,0.73066
v011,826.566,820.051,0.275,10.4844,1,0.99553
v012,251.357,910.020,1.838,10.7250,1,0.94907
v013,256.570,563.182,-4.938,8.7875,1,0.99965
v014,887.722,477.003,1.317,11.1375,1,0.99993
v015,801.627,812.823,-1.606,10.7313,1,0.99962
v016,851.576,646.506,2.586,10.0562,1,0.99176
v017,611.199,667.341,-3.149,8.2437,1,0.87400
v018,249.081,110.069,-4.160,9.9375,1,0.99654
v019,257.766,205.385,-2.597,10.0000,1,0.84022
v020,280.335,654.449,3.972,8.4531,1,0.99504
v021,838.500,506.500,2.547,9.7812,1,0.74108
v022,908.613,537.033,2.901,9.2625,1,0.99996
v023,655.578,679.429,-0.922,8.1875,1,0.99769
v024,325.901,616.110,-1.623,8.7438,1,0.99914
v025,475.552,481.820,-2.097,11.7875,1,0.87361
v026,0,0,0,0,0,0.73630
v027,608.272,302.112,-0.848,8.9343,1,0.99825
v028,695.846,88.046,-1.218,11.1375,1,0.74997
v029,0,0,0,0,0,0.97420
v030,0,0,0,0,0,0.76580
v031,606.993,621.351,0.178,12.2250,1,0.87500
v032,0,0,0,0,0,0.93781
v033,0,0,0,0,0,0.94756
v034,0,0,0,0,0,0.90738
v035,0,0,0,0,0,0.96412
v036,527.733,380.456,2.530,10.4000,1,0.09891
v037,688.791,213.603,2.062,11.5000,1,0.19250
v038,780.073,466.217,-3.786,8.6969,1,0.03828
v039,572.612,583.761,3.706,9.1469,1,0.53503
