pair_id,set,severity,rel_margin,err_classical,err_rms,has_alt
pair_0000,B_degraded,1,0.00000,0.177,0.177,0
pair_0001,A_nominal,0,0.00000,0.175,0.175,0
pair_0005,B_degraded,1,0.00000,0.459,0.459,0
pair_0006,A_nominal,0,0.00000,0.143,0.143,0
pair_0007,A_nominal,0,0.00000,0.168,0.168,0
pair_0008,A_nominal,0,0.00000,0.255,0.255,0
pair_0009,B_degraded,4,0.00000,0.218,0.218,0
pair_0010,A_nominal,0,0.00000,0.171,0.171,0
pair_0011,A_nominal,0,0.00000,17.823,17.823,0
pair_0012,B_degraded,1,0.00000,0.062,0.062,0
pair_0015,A_nominal,0,0.00000,0.097,0.097,0
pair_0016,B_degraded,1,0.00000,0.180,0.180,0
pair_0018,A_nominal,0,0.00000,0.054,0.054,0
pair_0020,B_degraded,3,0.00000,0.061,0.061,0
pair_0021,A_nominal,0,0.00000,0.071,0.071,0
pair_0022,B_degraded,1,0.00000,0.513,0.513,0
pair_0024,A_nominal,0,0.00000,0.187,0.187,0
pair_0025,A_nominal,0,0.00000,0.090,0.090,0
pair_0026,A_nominal,0,0.00000,0.041,0.041,0
pair_0027,A_nominal,0,0.00616,269.775,302.864,1
pair_0028,A_nominal,0,0.00000,54.390,54.390,0
pair_0029,B_degraded,3,0.00000,0.593,0.593,0
pair_0030,A_nominal,0,0.05796,588.551,760.578,1
pair_0032,B_degraded,1,0.00000,0.092,0.092,0
pair_0033,B_degraded,4,0.02631,801.596,778.639,1
pair_0034,A_nominal,0,0.00000,0.306,0.306,0
pair_0035,B_degraded,1,0.00000,0.049,0.049,0
pair_0036,A_nominal,0,0.04744,644.215,292.219,1
pair_0037,A_nominal,0,0.00000,151.539,151.539,0
pair_0038,A_nominal,0,0.00000,0.037,0.037,0
pair_0039,A_nominal,0,0.00000,0.264,0.264,0
pair_0041,A_nominal,0,0.01182,618.628,706.847,1
pair_0042,A_nominal,0,0.00000,0.084,0.084,0
pair_0044,B_degraded,4,0.21186,372.466,165.737,1
pair_0046,B_degraded,4,0.01911,259.255,566.419,1
pair_0047,B_degraded,4,0.03408,497.519,50.580,1
pair_0048,A_nominal,0,0.00000,0.214,0.214,0
pair_0050,A_nominal,0,0.00000,0.200,0.200,0
pair_0051,B_degraded,4,0.02261,730.688,383.866,1
pair_0052,A_nominal,0,0.00000,27.695,27.695,0
pair_0053,A_nominal,0,0.00000,0.025,0.025,0
pair_0054,B_degraded,4,0.00000,3.809,3.809,0
pair_0057,A_nominal,0,0.00000,0.120,0.120,0
pair_0058,A_nominal,0,0.05548,678.673,586.304,1
pair_0059,A_nominal,0,0.00000,0.439,0.439,0
pair_0061,A_nominal,0,0.00000,0.035,0.035,0
pair_0063,B_degraded,4,0.41305,559.276,256.577,1
pair_0064,A_nominal,0,0.00000,0.087,0.087,0
pair_0065,B_degraded,4,0.04828,279.410,192.331,1
pair_0069,B_degraded,2,0.00589,43.042,26.529,1
pair_0071,A_nominal,0,0.00000,0.109,0.109,0
pair_0074,B_degraded,3,0.05024,756.904,0.807,1
pair_0076,B_degraded,1,0.00000,0.059,0.059,0
pair_0077,B_degraded,2,0.00000,136.016,136.016,0
pair_0078,B_degraded,4,0.00001,127.769,248.256,1
pair_0079,B_degraded,2,0.00000,0.366,0.366,0
pair_0081,B_degraded,2,0.01074,718.386,817.747,1
pair_0082,B_degraded,2,0.00000,0.116,0.116,0
pair_0083,B_degraded,3,0.04103,473.079,408.116,1
pair_0084,B_degraded,4,0.15935,540.165,559.244,1
pair_0086,B_degraded,1,0.01055,74.268,70.697,1
pair_0088,A_nominal,0,0.00000,0.038,0.038,0
pair_0089,A_nominal,0,0.00000,460.044,460.044,0
pair_0091,A_nominal,0,0.00000,0.137,0.137,0
pair_0092,B_degraded,1,0.00000,0.086,0.086,0
pair_0096,B_degraded,1,0.00000,49.308,49.308,0
pair_0097,A_nominal,0,0.00000,0.076,0.076,0
pair_0098,A_nominal,0,0.00000,0.340,0.340,0
pair_0099,B_degraded,1,0.00000,0.069,0.069,0
pair_0101,B_degraded,1,0.00000,0.347,0.347,0
pair_0102,B_degraded,4,0.06302,831.660,297.388,1
pair_0103,A_nominal,0,-0.03825,747.191,251.291,1
pair_0104,B_degraded,4,0.00000,1.151,1.151,0
pair_0106,B_degraded,3,0.00000,0.418,0.418,0
pair_0107,A_nominal,0,0.00000,63.560,63.560,0
pair_0108,A_nominal,0,0.00000,0.161,0.161,0
pair_0109,B_degraded,1,0.00000,0.588,0.588,0
pair_0110,B_degraded,2,0.00000,0.357,0.357,0
pair_0111,B_degraded,1,0.00000,0.046,0.046,0
pair_0113,A_nominal,0,0.00000,0.387,0.387,0
pair_0114,B_degraded,4,0.29096,419.861,1.010,1
pair_0116,A_nominal,0,0.00000,0.267,0.267,0
pair_0118,B_degraded,2,0.11849,1.037,329.080,1
pair_0119,B_degraded,3,0.24689,558.675,532.641,1
