pair_id,set,severity,rel_margin,err_classical,err_rms,has_alt
pair_0000,A_nominal,0,0.00000,0.093,0.093,0
pair_0002,B_degraded,1,0.00000,0.262,0.262,0
pair_0004,A_nominal,0,0.00000,0.451,0.451,0
pair_0006,B_degraded,1,0.00000,0.459,0.459,0
pair_0008,A_nominal,0,0.00000,0.142,0.142,0
pair_0009,A_nominal,0,0.00000,10.130,10.130,0
pair_0010,A_nominal,0,0.00000,0.046,0.046,0
pair_0013,B_degraded,1,0.00000,0.122,0.122,0
pair_0014,B_degraded,1,0.00000,0.263,0.263,0
pair_0015,B_degraded,3,0.05152,484.495,495.743,1
pair_0016,B_degraded,4,0.03857,650.096,734.421,1
pair_0017,A_nominal,0,0.01865,568.467,192.794,1
pair_0018,A_nominal,0,0.00000,0.154,0.154,0
pair_0019,B_degraded,4,0.36211,533.679,259.295,1
pair_0020,B_degraded,4,0.00000,377.448,377.448,0
pair_0024,B_degraded,4,0.23780,538.269,0.835,1
pair_0027,B_degraded,2,0.00000,0.465,0.465,0
pair_0028,B_degraded,2,0.00000,0.708,0.708,0
pair_0029,B_degraded,4,0.00000,652.623,652.623,0
pair_0034,B_degraded,1,0.00000,0.177,0.177,0
pair_0035,B_degraded,4,0.01505,0.511,755.107,1
pair_0036,A_nominal,0,0.00000,0.187,0.187,0
pair_0038,B_degraded,2,0.00000,0.944,0.944,0
pair_0039,A_nominal,0,0.00000,0.020,0.020,0
pair_0040,A_nominal,0,0.00000,0.197,0.197,0
pair_0041,B_degraded,3,0.00000,0.223,0.223,0
pair_0042,A_nominal,0,0.00000,0.056,0.056,0
pair_0043,B_degraded,3,0.02491,303.128,311.197,1
pair_0045,B_degraded,1,0.00000,0.152,0.152,0
pair_0046,A_nominal,0,0.00000,0.249,0.249,0
pair_0047,A_nominal,0,0.00000,0.127,0.127,0
pair_0049,A_nominal,0,0.00000,0.032,0.032,0
pair_0050,B_degraded,2,0.00000,0.160,0.160,0
pair_0051,A_nominal,0,0.00000,0.159,0.159,0
pair_0053,A_nominal,0,0.00000,0.044,0.044,0
pair_0055,B_degraded,4,0.03247,306.510,423.321,1
pair_0056,B_degraded,2,0.00000,0.265,0.265,0
pair_0058,B_degraded,4,0.01375,749.120,451.082,1
pair_0060,A_nominal,0,0.00000,0.020,0.020,0
pair_0061,B_degraded,3,0.00000,0.804,0.804,0
pair_0063,A_nominal,0,0.00000,0.031,0.031,0
pair_0064,A_nominal,0,0.00680,656.019,131.392,1
pair_0065,A_nominal,0,0.00000,0.219,0.219,0
pair_0066,B_degraded,2,0.00000,0.297,0.297,0
pair_0068,A_nominal,0,0.01206,392.356,657.205,1
pair_0070,B_degraded,4,0.03525,471.265,444.803,1
pair_0071,A_nominal,0,0.00000,0.077,0.077,0
pair_0072,A_nominal,0,0.00000,0.053,0.053,0
pair_0073,A_nominal,0,0.00000,0.019,0.019,0
pair_0074,B_degraded,4,0.01392,698.119,694.552,1
pair_0075,A_nominal,0,0.00000,0.077,0.077,0
pair_0076,B_degraded,2,0.00000,0.137,0.137,0
pair_0077,A_nominal,0,0.00000,0.173,0.173,0
pair_0078,B_degraded,1,0.00000,1.037,1.037,0
pair_0079,A_nominal,0,0.00000,0.334,0.334,0
pair_0080,B_degraded,3,0.13926,406.895,783.460,1
pair_0081,A_nominal,0,0.00000,0.162,0.162,0
pair_0082,A_nominal,0,0.00000,0.152,0.152,0
pair_0085,B_degraded,2,0.00000,422.747,422.747,0
pair_0087,A_nominal,0,0.00000,0.034,0.034,0
pair_0088,A_nominal,0,0.00000,0.078,0.078,0
pair_0091,A_nominal,0,0.00000,0.070,0.070,0
pair_0093,B_degraded,2,0.01930,89.578,48.444,1
pair_0095,B_degraded,4,0.06532,569.340,598.856,1
pair_0096,B_degraded,2,0.00000,0.127,0.127,0
pair_0097,A_nominal,0,0.00000,0.153,0.153,0
pair_0101,B_degraded,1,0.00380,101.540,49.637,1
pair_0102,A_nominal,0,0.00000,0.143,0.143,0
pair_0103,B_degraded,2,0.03135,489.545,502.417,1
pair_0104,B_degraded,1,0.00000,40.986,40.986,0
pair_0105,A_nominal,0,0.00000,0.230,0.230,0
pair_0107,A_nominal,0,0.00000,0.113,0.113,0
pair_0108,A_nominal,0,0.00000,0.524,0.524,0
pair_0109,A_nominal,0,0.00000,0.240,0.240,0
pair_0110,A_nominal,0,0.00000,0.098,0.098,0
pair_0111,B_degraded,1,0.00000,0.855,0.855,0
pair_0112,B_degraded,3,0.01941,0.512,321.789,1
pair_0113,A_nominal,0,0.00000,0.297,0.297,0
pair_0115,B_degraded,3,0.00000,31.347,31.347,0
pair_0116,B_degraded,1,0.00000,0.324,0.324,0
pair_0117,B_degraded,3,0.19400,646.910,1.174,1
pair_0120,A_nominal,0,0.00000,0.125,0.125,0
pair_0122,B_degraded,4,0.08669,350.802,639.943,1
pair_0124,B_degraded,3,0.07637,407.750,510.619,1
pair_0125,B_degraded,1,0.00000,0.031,0.031,0
pair_0126,B_degraded,4,0.22903,877.375,953.911,1
pair_0127,B_degraded,1,0.04217,77.753,113.930,1
pair_0128,A_nominal,0,0.00000,0.323,0.323,0
pair_0129,B_degraded,4,0.00085,0.906,684.886,1
pair_0131,B_degraded,3,0.02875,0.997,753.979,1
pair_0132,B_degraded,3,0.07062,471.161,81.394,1
pair_0133,A_nominal,0,0.01647,241.135,184.945,1
pair_0134,A_nominal,0,0.00000,0.046,0.046,0
pair_0135,B_degraded,3,0.00000,0.135,0.135,0
pair_0136,A_nominal,0,0.00000,0.046,0.046,0
pair_0138,A_nominal,0,0.00000,0.195,0.195,0
pair_0139,B_degraded,3,0.00000,0.819,0.819,0
pair_0141,A_nominal,0,0.00000,0.041,0.041,0
pair_0143,A_nominal,0,0.00281,220.474,96.285,1
pair_0144,A_nominal,0,0.00000,0.165,0.165,0
pair_0145,B_degraded,4,0.00823,253.514,337.397,1
pair_0147,B_degraded,4,0.14246,1038.248,45.979,1
pair_0148,A_nominal,0,0.01492,39.282,20.125,1
pair_0149,B_degraded,2,0.00000,62.839,62.839,0
pair_0150,A_nominal,0,0.00000,0.230,0.230,0
pair_0151,A_nominal,0,0.00000,0.076,0.076,0
pair_0152,B_degraded,2,0.00000,0.432,0.432,0
pair_0154,B_degraded,1,0.00404,10.822,71.929,1
pair_0155,B_degraded,4,0.05577,603.434,520.413,1
pair_0157,A_nominal,0,0.00000,0.175,0.175,0
pair_0159,A_nominal,0,0.00000,0.046,0.046,0
pair_0162,B_degraded,2,0.00000,0.835,0.835,0
pair_0163,A_nominal,0,0.00000,0.169,0.169,0
pair_0164,B_degraded,4,0.00000,2.168,2.168,0
pair_0168,B_degraded,4,0.00000,560.917,560.917,0
pair_0169,A_nominal,0,0.00000,0.078,0.078,0
pair_0170,B_degraded,4,0.00465,438.625,635.437,1
pair_0171,B_degraded,1,0.00000,0.203,0.203,0
pair_0172,B_degraded,2,0.00000,0.307,0.307,0
pair_0173,A_nominal,0,0.00000,0.297,0.297,0
pair_0174,A_nominal,0,0.03915,139.688,107.908,1
pair_0175,A_nominal,0,0.00000,16.116,16.116,0
pair_0176,B_degraded,2,0.00000,0.385,0.385,0
pair_0177,A_nominal,0,0.00000,0.165,0.165,0
pair_0179,A_nominal,0,0.00000,0.320,0.320,0
pair_0180,A_nominal,0,0.00000,0.245,0.245,0
pair_0181,A_nominal,0,0.00000,627.766,627.766,0
pair_0182,A_nominal,0,0.02891,54.225,24.750,1
pair_0184,B_degraded,3,0.06061,312.668,0.250,1
pair_0186,A_nominal,0,0.00000,0.243,0.243,0
pair_0187,A_nominal,0,0.01862,66.481,27.135,1
pair_0188,A_nominal,0,0.00000,0.112,0.112,0
pair_0189,A_nominal,0,0.01066,799.170,851.875,1
pair_0190,A_nominal,0,0.00000,0.080,0.080,0
pair_0191,A_nominal,0,0.00000,0.189,0.189,0
pair_0193,B_degraded,4,0.04087,814.246,369.961,1
pair_0195,A_nominal,0,0.05591,495.208,652.811,1
pair_0196,A_nominal,0,0.00000,0.117,0.117,0
pair_0197,B_degraded,2,0.00000,0.319,0.319,0
pair_0199,A_nominal,0,0.00000,0.073,0.073,0
pair_0200,A_nominal,0,0.00000,0.283,0.283,0
pair_0201,B_degraded,4,0.00000,0.558,0.558,0
pair_0202,B_degraded,2,0.00000,0.145,0.145,0
pair_0204,B_degraded,1,0.00000,0.730,0.730,0
pair_0207,B_degraded,1,0.00000,14.860,14.860,0
pair_0208,B_degraded,1,0.00762,64.892,39.057,1
pair_0209,A_nominal,0,0.00000,0.183,0.183,0
pair_0212,A_nominal,0,0.00000,0.092,0.092,0
pair_0213,B_degraded,2,0.00000,0.465,0.465,0
pair_0214,B_degraded,3,0.11301,466.623,152.975,1
pair_0215,B_degraded,2,0.00000,81.494,81.494,0
pair_0216,A_nominal,0,0.00000,0.226,0.226,0
pair_0217,A_nominal,0,0.00000,0.038,0.038,0
pair_0219,A_nominal,0,0.00000,0.234,0.234,0
pair_0220,B_degraded,4,0.13693,648.468,1.262,1
pair_0221,A_nominal,0,0.00000,0.129,0.129,0
pair_0222,B_degraded,3,0.00000,1.086,1.086,0
pair_0225,B_degraded,4,0.00000,0.249,0.249,0
pair_0226,A_nominal,0,0.00000,0.209,0.209,0
pair_0227,A_nominal,0,0.00000,0.279,0.279,0
pair_0228,B_degraded,1,0.00000,0.503,0.503,0
pair_0230,A_nominal,0,0.04151,54.331,16.689,1
pair_0233,B_degraded,2,0.00000,0.629,0.629,0
pair_0234,B_degraded,3,0.03613,798.212,712.844,1
pair_0235,B_degraded,2,0.00000,69.695,69.695,0
pair_0237,A_nominal,0,0.00000,0.265,0.265,0
pair_0238,B_degraded,1,0.00000,0.474,0.474,0
pair_0239,B_degraded,1,0.00000,0.078,0.078,0
