statistic,suite,sev0,sev1,sev2,sev3,sev4,overall,reversed
chance_floor,p2holdout2,10,10,10,10,9,9.8,
ncc,p2holdout2,83,80,29,50,14,64.3,22.6
edge_locked,p2holdout2,12,13,14,17,21,14.3,33.3
lattice_res,p2holdout2,17,27,43,33,43,26.2,22.6
whiteness,p2holdout2,57,60,43,67,43,54.8,6.0
grad_ncc,p2holdout2,83,87,43,17,14,64.3,4.8
matscale_ncc,p2holdout2,50,47,29,50,21,42.9,13.1
res_rms,p2holdout2,81,60,57,67,43,67.9,6.0
chance_floor,p2train,10,10,10,9,9,9.7,
ncc,p2train,86,67,45,24,8,60.7,23.2
edge_locked,p2train,18,14,0,6,4,11.9,35.7
lattice_res,p2train,19,10,41,29,38,24.4,21.4
whiteness,p2train,50,67,73,65,42,55.4,10.7
grad_ncc,p2train,89,67,50,29,21,65.5,4.8
matscale_ncc,p2train,50,48,18,29,12,38.1,25.0
res_rms,p2train,86,71,73,47,50,73.2,3.6
