pair_id,x,y,theta,scale,found,score
p001,330.627,840.322,0.014,8.0094,1,1.00000
p002,909.676,297.489,-1.269,10.0000,1,1.00000
p003,698.896,279.166,-0.027,11.9531,1,0.99945
p004,576.621,109.555,4.563,9.1500,1,0.98873
p005,143.396,909.906,-4.944,11.3812,1,1.00000
p006,637.782,627.222,2.280,8.6032,1,1.00000
p007,774.593,773.724,-3.151,10.7063,1,1.00000
p008,216.719,806.716,1.345,11.8625,1,0.98353
p009,909.565,245.190,3.659,9.4156,1,0.98752
p010,248.341,202.804,-2.716,10.5938,1,0.99962
p011,275.992,676.055,4.998,8.2532,1,0.99995
p012,449.988,551.893,-4.513,11.7500,1,0.99996
p013,716.356,480.645,0.325,11.9000,1,0.87490
p014,698.210,357.270,-0.884,7.9875,1,0.99265
p015,510.835,259.326,0.703,10.1500,1,0.75000
p016,0,0,0,0,0,0.98184
p017,957.500,281.587,1.250,11.7875,1,0.40520
p018,0,0,0,0,0,0.95607
p019,909.389,800.291,1.871,10.3812,1,0.02335
p020,229.235,909.962,-3.980,9.0469,1,0.96600
