pair_id,x,y,theta,scale,found,score
v000,615.840,847.725,-5.078,7.9813,1,0.99977
v001,182.660,667.359,4.970,12.0562,1,0.99990
v002,909.686,258.409,-1.319,9.3969,1,0.99954
v003,296.343,909.850,2.724,9.0000,1,0.99224
v004,548.060,554.362,1.647,9.7219,1,0.92420
v005,893.680,335.035,-0.327,9.4937,1,0.99900
v006,307.480,610.549,-1.067,8.6875,1,0.99248
v007,0,0,0,0,0,0.98394
v008,908.591,910.095,3.306,9.0469,1,0.99871
v009,909.251,444.332,2.219,11.8343,1,0.99957
v010,820.547,249.503,0.855,10.3250,1,0.99990
v011,601.216,303.736,-2.019,9.2875,1,0.99687
v012,560.429,552.024,1.797,9.6844,1,0.98467
v013,200.211,909.982,-4.845,9.8438,1,0.99824
v014,908.461,909.859,-4.501,9.2250,1,0.99325
v015,326.597,621.242,4.500,8.6500,1,0.98913
v016,459.737,101.126,1.557,11.3718,1,0.99645
v017,287.247,326.873,-1.703,8.5844,1,0.99506
v018,658.282,592.593,-1.597,8.8594,1,0.99925
v019,843.886,682.900,-3.375,8.0750,1,0.99814
v020,908.868,626.578,1.703,8.8594,1,0.99908
v021,496.265,909.988,-2.684,9.9375,1,0.72913
v022,309.553,651.604,3.666,8.4719,1,0.99992
v023,225.382,260.604,0.287,10.8625,1,0.99904
v024,899.446,808.578,-0.735,10.5844,1,0.99985
v025,580.184,564.864,-0.853,9.3249,1,0.99958
v026,216.130,890.421,-2.258,11.2406,1,0.99914
v027,710.567,200.343,3.670,11.2500,1,0.99997
v028,270.171,578.900,4.340,9.2313,1,0.99984
v029,465.835,250.067,-1.459,11.7594,1,0.99997
v030,759.102,854.330,3.367,9.4750,1,0.99709
v031,530.173,772.123,-1.182,10.5407,1,0.87467
v032,908.438,640.772,-2.444,9.0375,1,0.99939
v033,701.018,652.031,1.586,8.2875,1,0.99906
v034,780.010,230.068,-2.963,10.7906,1,0.99985
v035,907.632,909.898,-2.122,9.1750,1,0.99996
v036,891.788,211.475,3.835,9.7781,1,0.99914
v037,247.831,769.021,-0.882,11.1938,1,0.99983
v038,492.433,221.712,-1.273,11.7875,1,0.99859
v039,554.709,545.780,3.211,9.9093,1,0.99947
v040,273.891,693.535,-0.363,10.8719,1,0.98456
v041,908.447,567.815,3.271,9.3812,1,0.99952
v042,0,0,0,0,0,0.99596
v043,0,0,0,0,0,0.98844
v044,305.901,263.382,0.979,9.8406,1,0.43283
v045,0,0,0,0,0,0.99038
v046,0,0,0,0,0,0.97605
v047,0,0,0,0,0,0.87162
v048,0,0,0,0,0,0.68793
v049,0,0,0,0,0,0.98043
v050,342.964,274.132,-4.449,12.1500,1,0.49996
v051,0,0,0,0,0,0.94455
v052,0,0,0,0,0,0.73250
v053,468.650,903.625,0.726,10.2063,1,0.74999
v054,532.598,585.728,-3.323,9.7969,1,0.25496
v055,754.122,579.030,4.018,8.7781,1,0.21621
v056,733.248,782.848,0.619,11.4625,1,0.20681
v057,249.750,90.201,-4.104,10.7875,1,0.46121
v058,909.904,145.447,4.459,11.5187,1,0.13974
v059,187.425,507.408,3.266,11.0375,1,0.59535
