pair_id,x,y,theta,scale,found,score
v000,308.363,622.595,-5.123,8.0094,1,0.99993
v001,681.218,392.568,5.073,11.9000,1,0.99984
v002,191.985,459.930,2.535,11.4938,1,0.99778
v003,909.602,296.662,-4.020,9.5250,1,0.98639
v004,239.764,89.919,-4.060,10.5844,1,0.99436
v005,908.789,627.380,0.296,9.4187,1,0.99601
v006,590.557,115.545,-4.059,9.7875,1,0.99955
v007,286.798,717.970,4.752,9.7031,1,0.99719
v008,689.290,654.166,0.632,8.2781,1,0.99975
v009,252.137,132.595,-3.875,9.9719,1,0.99895
v010,241.141,89.921,-4.135,10.9062,1,0.99964
v011,826.566,820.051,0.275,10.4844,1,0.99553
v012,251.357,910.020,1.838,10.7250,1,0.94907
v013,256.570,563.182,-4.938,8.7875,1,0.99965
v014,887.722,477.003,1.317,11.1375,1,0.99995
v015,801.617,812.733,-1.570,10.7125,1,0.99992
v016,851.577,646.552,2.569,10.0562,1,0.99727
v017,611.366,667.642,-3.288,8.3031,1,0.99994
v018,249.081,110.063,-4.162,9.9375,1,0.99544
v019,257.422,205.607,-2.672,10.0407,1,0.99828
v020,280.333,654.347,4.029,8.4531,1,0.99996
v021,838.339,506.320,3.525,9.9562,1,0.99982
v022,908.613,537.032,2.900,9.2625,1,0.99997
v023,655.499,679.277,-1.108,8.2156,1,0.99903
v024,325.902,616.079,-1.625,8.7438,1,0.99949
v025,475.841,481.786,-2.005,11.9156,1,0.99942
v026,909.133,278.976,-3.786,9.9093,1,0.99946
v027,608.269,302.081,-0.753,8.9531,1,0.99917
v028,695.846,88.046,-1.218,11.1375,1,0.74997
v029,0,0,0,0,0,0.97420
v030,0,0,0,0,0,0.76580
v031,902.634,304.027,0.328,10.2250,1,0.62499
v032,0,0,0,0,0,0.93781
v033,0,0,0,0,0,0.94756
v034,0,0,0,0,0,0.82698
v035,0,0,0,0,0,0.96412
v036,527.733,380.456,2.530,10.4000,1,0.09891
v037,688.791,213.603,2.062,11.5000,1,0.19250
v038,780.073,466.217,-3.786,8.6969,1,0.03828
v039,572.612,583.761,3.706,9.1469,1,0.53503
