pair_id,x,y,theta,scale,found,score
v000,659.538,715.944,-5.023,7.9906,1,1.00000
v001,89.500,207.500,5.136,11.9250,1,0.72446
v002,561.551,532.930,-3.827,10.0407,1,1.00000
v003,659.223,806.063,4.577,8.5563,1,1.00000
v004,606.678,909.982,3.991,9.2875,1,1.00000
v005,598.583,309.560,1.997,9.2062,1,0.99322
v006,452.909,630.190,-4.981,10.8969,1,0.97999
v007,827.796,680.377,-2.935,8.2125,1,1.00000
v008,909.000,696.000,-4.484,8.1125,1,0.49998
v009,498.892,508.236,-2.395,11.1938,1,0.99613
v010,561.727,276.680,-1.523,10.3906,1,0.92850
v011,588.625,296.455,1.622,8.9813,1,1.00000
v012,216.664,802.440,-5.017,9.9844,1,1.00000
v013,859.182,896.587,0.602,10.1875,1,1.00000
v014,336.176,879.938,0.813,8.0750,1,0.99844
v015,688.952,625.670,1.209,8.2218,1,0.99949
v016,89.223,256.926,2.947,10.8344,1,0.99654
v017,831.124,805.779,1.175,10.3906,1,0.99737
v018,442.465,718.248,-3.510,11.5000,1,0.99980
v019,208.184,574.698,-3.497,11.7687,1,0.99968
v020,909.436,279.338,-0.699,8.9625,1,0.99853
v021,762.214,513.400,-1.771,10.7219,1,0.99980
v022,140.679,338.471,3.638,8.1500,1,0.99575
v023,592.000,716.000,-0.807,9.2125,1,0.97020
v024,909.152,322.934,-3.570,9.3156,1,0.99963
v025,747.489,98.839,-2.744,11.1000,1,0.99972
v026,564.292,585.637,-0.792,9.4000,1,0.99955
v027,857.963,836.372,1.225,10.0375,1,0.99994
v028,0,0,0,0,0,0.98813
v029,0,0,0,0,0,0.96848
v030,0,0,0,0,0,0.91090
v031,932.500,305.500,0.534,9.9813,1,0.75000
v032,664.500,407.500,2.430,11.0562,1,0.49996
v033,0,0,0,0,0,0.89192
v034,0,0,0,0,0,0.96009
v035,0,0,0,0,0,0.99518
v036,888.679,871.518,-3.683,9.3719,1,0.48100
v037,773.040,908.478,-1.312,10.2781,1,0.02636
v038,261.552,89.921,-4.008,10.2594,1,0.34482
v039,784.500,218.084,-4.360,10.6375,1,0.74143
