pair_id,x,y,theta,scale,found,score
pair_0000,593.976,135.458,2.781,10.9906,1,0.48891
pair_0001,279.011,540.337,1.154,9.9438,1,0.99729
pair_0002,108.339,558.330,3.727,9.8344,1,0.82912
pair_0003,542.889,686.351,0.876,10.3063,1,0.98722
pair_0004,250.892,67.080,0.656,9.8406,1,0.00137
pair_0005,632.500,588.500,1.219,9.9531,1,0.50000
pair_0006,474.753,411.918,-0.037,10.7688,1,0.99058
pair_0007,173.861,180.864,-1.953,10.0469,1,0.99383
pair_0008,298.496,650.723,4.201,10.7157,1,0.99804
pair_0009,0,0,0,0,0,0.98381
pair_0010,0,0,0,0,0,0.99067
pair_0011,501.930,199.553,2.246,11.6312,1,0.99391
pair_0012,120.341,346.916,2.850,9.2875,1,0.89055
pair_0013,0,0,0,0,0,0.93237
pair_0014,601.928,459.974,1.081,10.7406,1,0.59476
pair_0015,0,0,0,0,0,0.88918
pair_0016,0,0,0,0,0,0.92043
pair_0017,0,0,0,0,0,0.71243
pair_0018,651.929,797.556,-3.699,8.0375,1,0.99996
pair_0019,0,0,0,0,0,0.92515
pair_0020,878.919,856.587,-0.149,9.0375,1,0.54114
pair_0021,0,0,0,0,0,0.87194
pair_0022,72.725,101.069,2.087,9.2625,1,0.99759
pair_0023,460.716,531.038,4.813,8.3813,1,0.99890
pair_0024,282.948,172.192,-0.642,11.4750,1,0.99658
pair_0025,727.205,173.638,-1.223,11.6500,1,0.99926
pair_0026,485.469,831.484,-4.731,10.7688,1,0.82744
pair_0027,758.577,742.774,1.195,9.9812,1,0.99900
pair_0028,0,0,0,0,0,0.95293
pair_0029,353.335,573.359,-0.966,11.5000,1,0.52722
pair_0030,478.500,113.500,-2.312,12.2250,1,0.00798
pair_0031,0,0,0,0,0,0.77963
pair_0032,0,0,0,0,0,0.86946
pair_0033,840.664,845.500,-0.656,9.8406,1,0.00009
pair_0034,0,0,0,0,0,0.95545
pair_0035,0,0,0,0,0,0.82615
pair_0036,0,0,0,0,0,0.79599
pair_0037,154.412,231.485,-4.994,8.4750,1,0.31767
pair_0038,666.939,299.522,1.179,8.1312,1,0.99985
pair_0039,358.773,586.738,-3.237,8.6500,1,0.96329
pair_0040,811.151,752.397,-0.481,10.2250,1,0.93742
pair_0041,139.201,501.655,0.265,11.6312,1,0.99539
pair_0042,739.421,800.345,-1.219,9.9531,1,0.00022
pair_0043,121.081,373.922,2.254,10.5563,1,0.57588
pair_0044,241.161,527.620,-1.666,9.9250,1,0.99815
pair_0045,181.705,273.569,2.328,8.8500,1,0.98621
pair_0046,493.500,731.500,1.453,10.0000,1,0.00046
pair_0047,567.398,429.646,-0.063,11.0407,1,0.87144
pair_0048,143.924,72.696,-3.038,9.7031,1,0.99869
pair_0049,227.043,456.329,-0.993,10.2907,1,0.00019
pair_0050,373.563,237.368,0.183,8.4594,1,0.96959
pair_0051,0,0,0,0,0,0.98929
pair_0052,556.687,231.663,-3.179,11.7656,1,0.99743
pair_0053,0,0,0,0,0,0.77068
pair_0054,223.413,522.707,1.097,8.6125,1,0.99943
pair_0055,0,0,0,0,0,0.94338
pair_0056,811.785,716.696,-1.087,10.8250,1,0.99463
pair_0057,0,0,0,0,0,0.95177
pair_0058,139.443,430.234,0.432,9.3718,1,0.99958
