pair_id,set,severity,architecture,present,x,y,theta,scale
v000,A,1,finfet_14nm,1,722.2558744256567,326.5995092600689,-5.0,8.0
v001,A,1,dram_compact,1,89.51969113155403,220.67685505079092,5.0,12.0
v002,A,1,dram_1x,1,586.1051432561259,251.35816278179595,-0.5022265883940735,9.582209411287687
v003,A,1,finfet_10nm,1,456.2539720387207,635.4800110918621,1.220876216046044,11.788774429224384
v004,A,1,dram_dense,1,216.835510033163,214.23391918017495,0.621519836089105,11.827983248344577
v005,A,1,dram_1x,1,248.23681497291756,561.0278658988764,3.514095059878688,9.351783763588866
v006,A,1,dram_dense,1,636.6754674139016,276.62802840203403,-3.646726212523287,9.144716419486338
v007,A,1,dram_compact,1,250.4363529023306,901.3728985033989,3.337430769792763,9.763230651667834
v008,A,1,finfet_22nm,1,295.84799961324177,583.348748775652,3.3670415417744826,9.343367436039598
v009,A,1,dram_dense,1,909.1713106942367,569.4349729249102,4.273081909546571,8.901188532866833
v010,A,1,dram_wide,1,674.3729409487955,314.8194832880624,2.1391951200267867,8.13224014749888
v011,A,1,dram_1x,1,763.1399710437981,909.9564629834349,-3.763883680421455,10.248453269060219
v012,A,1,dram_1x,1,625.1705670093854,909.9558179878144,-2.8945297260313163,8.851059861500163
v013,A,1,dram_compact,1,700.4330828562603,473.26299803193444,-4.301968012290525,11.79621942479045
v014,B,3,finfet_10nm,1,909.0651146685962,247.4811718645135,3.8105873978270455,8.588961843410733
v015,B,4,dram_compact,1,907.3842367497198,274.2526651955817,-2.951291935460547,10.44069227591193
v016,B,3,dram_dense,1,248.4446538823072,144.25118976157862,0.6313119028265646,9.877615098101195
v017,B,4,finfet_14nm,1,224.97321641864414,895.8076276692846,-2.0299303272327887,10.425893474223967
v018,B,2,finfet_7nm,1,809.0709353333998,130.13748365464917,1.5046558884351746,10.543362049991005
v019,B,3,finfet_22nm,1,757.7254044652781,521.1678560534855,-3.349306977433648,11.058310235638189
v020,B,3,finfet_10nm,1,229.73016433701028,692.976037904102,0.9621132747340799,11.76309339677406
v021,B,4,finfet_22nm,1,98.58453851639405,288.44792217113024,4.315514353936388,9.765546749437288
v022,B,3,dram_wide,1,773.739972793471,206.41012217993818,-4.9964570802285015,10.916516860371337
v023,B,4,finfet_14nm,1,800.7816955694622,230.30027811413862,1.4908702492441328,10.492175475783432
v024,B,2,finfet_7nm,1,239.35533881619477,380.1651287392352,1.3069939875975123,11.184168754866688
v025,B,3,finfet_10nm,1,243.69678249999686,731.9064411902621,2.8737365669383284,11.000917207096943
v026,B,3,dram_loose,1,539.5861023116535,541.3250528169481,4.282745480146287,10.03807222350814
v027,B,4,dram_1x,1,590.3107602859741,269.15791544782564,-1.3872827203287474,8.961500426947385
v028,C,0,dram_1x,0,0.0,0.0,0.0,0.0
v029,C,1,finfet_22nm,0,0.0,0.0,0.0,0.0
v030,C,2,dram_wide,0,0.0,0.0,0.0,0.0
v031,C,0,dram_compact,0,0.0,0.0,0.0,0.0
v032,C,0,dram_wide,0,0.0,0.0,0.0,0.0
v033,C,1,finfet_14nm,0,0.0,0.0,0.0,0.0
v034,C,2,dram_dense,0,0.0,0.0,0.0,0.0
v035,C,0,finfet_14nm,0,0.0,0.0,0.0,0.0
v036,D,0,finfet_14nm,1,628.2562427406631,273.1601669759602,-2.209521622440712,8.502708856870933
v037,D,1,finfet_14nm,1,495.41813958473415,262.1625042154799,3.387061196972917,10.12857030668186
v038,D,0,finfet_10nm,1,854.6224225123788,257.0663644049491,0.06722508074119782,10.193517511527446
v039,D,1,finfet_14nm,1,234.99798313896298,857.8105296272229,-4.55277846789257,9.574808555158704
